datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,459.79,483.18802,17
2022-07-01T01:00:00.000000000,455.93,497.35209,17
2022-07-01T02:00:00.000000000,460.54,511.03885,17
2022-07-01T03:00:00.000000000,471.44,521.36459,17
2022-07-01T04:00:00.000000000,476.95,530.69559,17
2022-07-01T05:00:00.000000000,478.43,536.24139,17
2022-07-01T06:00:00.000000000,501.86,542.26168,17
2022-07-01T07:00:00.000000000,521.25,554.84364,17
2022-07-01T08:00:00.000000000,545.12,573.81512,17
2022-07-01T09:00:00.000000000,538.18,589.00384,17
2022-07-01T10:00:00.000000000,558.1,594.4218,17
2022-07-01T11:00:00.000000000,588.15,589.56718,17
2022-07-01T12:00:00.000000000,592.87,584.11035,17
2022-07-01T13:00:00.000000000,581.1,571.79095,17
2022-07-01T14:00:00.000000000,561.49,556.6945,17
2022-07-01T15:00:00.000000000,522.84,539.96763,17
2022-07-01T16:00:00.000000000,493.09,524.74562,17
2022-07-01T17:00:00.000000000,487.55,500.76979,17
2022-07-01T18:00:00.000000000,477.69,476.32482,17
2022-07-01T19:00:00.000000000,480.56,472.23033,17
2022-07-01T20:00:00.000000000,465.0,468.74706,17
2022-07-01T21:00:00.000000000,460.72,473.66181,17
2022-07-01T22:00:00.000000000,456.72,473.00029,17
2022-07-01T23:00:00.000000000,457.18,480.67051,17
2022-07-02T00:00:00.000000000,451.31,499.96378,17
2022-07-02T01:00:00.000000000,446.18,515.22356,17
2022-07-02T02:00:00.000000000,460.85,529.35038,17
2022-07-02T03:00:00.000000000,498.67,539.3624,17
2022-07-02T04:00:00.000000000,502.68,548.08555,17
2022-07-02T05:00:00.000000000,501.58,552.51312,17
2022-07-02T06:00:00.000000000,508.29,557.31818,17
2022-07-02T07:00:00.000000000,526.93,568.60244,17
2022-07-02T08:00:00.000000000,551.64,586.20794,17
2022-07-02T09:00:00.000000000,560.38,600.16959,17
2022-07-02T10:00:00.000000000,573.66,604.80945,17
2022-07-02T11:00:00.000000000,603.48,599.37127,17
2022-07-02T12:00:00.000000000,602.7,593.52683,17
2022-07-02T13:00:00.000000000,601.78,580.93567,17
2022-07-02T14:00:00.000000000,590.57,565.80337,17
2022-07-02T15:00:00.000000000,551.91,549.35355,17
2022-07-02T16:00:00.000000000,502.49,534.26203,17
2022-07-02T17:00:00.000000000,486.92,510.66738,17
2022-07-02T18:00:00.000000000,484.07,486.47424,17
2022-07-02T19:00:00.000000000,481.66,482.88324,17
2022-07-02T20:00:00.000000000,473.37,480.19993,17
2022-07-02T21:00:00.000000000,465.53,486.52247,17
2022-07-02T22:00:00.000000000,476.76,487.10826,17
2022-07-02T23:00:00.000000000,481.59,496.24091,17
2022-07-03T00:00:00.000000000,475.74,508.35155,17
2022-07-03T01:00:00.000000000,477.0,525.54747,17
2022-07-03T02:00:00.000000000,476.29,540.79608,17
2022-07-03T03:00:00.000000000,491.17,551.16469,17
2022-07-03T04:00:00.000000000,499.47,559.78088,17
2022-07-03T05:00:00.000000000,503.79,563.51786,17
2022-07-03T06:00:00.000000000,498.87,567.46642,17
2022-07-03T07:00:00.000000000,513.51,577.89293,17
2022-07-03T08:00:00.000000000,551.19,594.41644,17
2022-07-03T09:00:00.000000000,578.45,607.15686,17
2022-07-03T10:00:00.000000000,584.67,610.58928,17
2022-07-03T11:00:00.000000000,591.09,603.99248,17
2022-07-03T12:00:00.000000000,603.45,597.0952,17
2022-07-03T13:00:00.000000000,610.53,583.64977,17
2022-07-03T14:00:00.000000000,607.81,567.90033,17
2022-07-03T15:00:00.000000000,510.62,550.92662,17
2022-07-03T16:00:00.000000000,469.01,535.2696,17
2022-07-03T17:00:00.000000000,456.37,511.54061,17
2022-07-03T18:00:00.000000000,447.81,487.62397,17
2022-07-03T19:00:00.000000000,434.69,484.57312,17
2022-07-03T20:00:00.000000000,431.39,482.83387,17
2022-07-03T21:00:00.000000000,424.06,490.47628,17
2022-07-03T22:00:00.000000000,418.01,492.28855,17
2022-07-03T23:00:00.000000000,416.58,503.12225,17
2022-07-04T00:00:00.000000000,417.33,514.5336,17
2022-07-04T01:00:00.000000000,436.32,531.14588,17
2022-07-04T02:00:00.000000000,461.6,545.90091,17
2022-07-04T03:00:00.000000000,477.35,555.86335,17
2022-07-04T04:00:00.000000000,481.62,564.19003,17
2022-07-04T05:00:00.000000000,482.1,567.83095,17
2022-07-04T06:00:00.000000000,489.41,571.61905,17
2022-07-04T07:00:00.000000000,502.28,581.80498,17
2022-07-04T08:00:00.000000000,531.45,598.13715,17
2022-07-04T09:00:00.000000000,560.78,610.65032,17
2022-07-04T10:00:00.000000000,556.32,613.9249,17
2022-07-04T11:00:00.000000000,574.44,607.04004,17
2022-07-04T12:00:00.000000000,589.24,599.7698,17
2022-07-04T13:00:00.000000000,580.82,585.88897,17
2022-07-04T14:00:00.000000000,574.18,569.87831,17
2022-07-04T15:00:00.000000000,557.14,552.9938,17
2022-07-04T16:00:00.000000000,517.37,537.86045,17
2022-07-04T17:00:00.000000000,498.19,514.85206,17
2022-07-04T18:00:00.000000000,486.42,491.60438,17
2022-07-04T19:00:00.000000000,436.79,489.30845,17
2022-07-04T20:00:00.000000000,425.26,488.01377,17
2022-07-04T21:00:00.000000000,423.91,496.15034,17
2022-07-04T22:00:00.000000000,412.08,498.27139,17
2022-07-04T23:00:00.000000000,421.49,509.03732,17
2022-07-02T00:00:00.000000000,451.31,462.73119,17
2022-07-02T01:00:00.000000000,446.18,474.14035,17
2022-07-02T02:00:00.000000000,460.85,487.11179,17
2022-07-02T03:00:00.000000000,498.67,497.06631,17
2022-07-02T04:00:00.000000000,502.68,507.16225,17
2022-07-02T05:00:00.000000000,501.58,513.87666,17
2022-07-02T06:00:00.000000000,508.29,522.36675,17
2022-07-02T07:00:00.000000000,526.93,537.15219,17
2022-07-02T08:00:00.000000000,551.64,559.58998,17
2022-07-02T09:00:00.000000000,560.38,579.66167,17
2022-07-02T10:00:00.000000000,573.66,591.57925,17
2022-07-02T11:00:00.000000000,603.48,593.56691,17
2022-07-02T12:00:00.000000000,602.7,594.11909,17
2022-07-02T13:00:00.000000000,601.78,586.24539,17
2022-07-02T14:00:00.000000000,590.57,573.40421,17
2022-07-02T15:00:00.000000000,551.91,557.07568,17
2022-07-02T16:00:00.000000000,502.49,539.75154,17
2022-07-02T17:00:00.000000000,486.92,510.80712,17
2022-07-02T18:00:00.000000000,484.07,479.8714,17
2022-07-02T19:00:00.000000000,481.66,469.42112,17
2022-07-02T20:00:00.000000000,473.37,460.99825,17
2022-07-02T21:00:00.000000000,465.53,461.78157,17
2022-07-02T22:00:00.000000000,476.76,458.57296,17
2022-07-02T23:00:00.000000000,481.59,463.6984,17
2022-07-03T00:00:00.000000000,475.74,463.16389,17
2022-07-03T01:00:00.000000000,477.0,477.63474,17
2022-07-03T02:00:00.000000000,476.29,493.41223,17
2022-07-03T03:00:00.000000000,491.17,504.8121,17
2022-07-03T04:00:00.000000000,499.47,516.24382,17
2022-07-03T05:00:00.000000000,503.79,523.16437,17
2022-07-03T06:00:00.000000000,498.87,532.39022,17
2022-07-03T07:00:00.000000000,513.51,547.55511,17
2022-07-03T08:00:00.000000000,551.19,570.53122,17
2022-07-03T09:00:00.000000000,578.45,590.95643,17
2022-07-03T10:00:00.000000000,584.67,602.9913,17
2022-07-03T11:00:00.000000000,591.09,604.35979,17
2022-07-03T12:00:00.000000000,603.45,603.78986,17
2022-07-03T13:00:00.000000000,610.53,594.12133,17
2022-07-03T14:00:00.000000000,607.81,579.13155,17
2022-07-03T15:00:00.000000000,510.62,560.16696,17
2022-07-03T16:00:00.000000000,469.01,539.40534,17
2022-07-03T17:00:00.000000000,456.37,506.63965,17
2022-07-03T18:00:00.000000000,447.81,473.32161,17
2022-07-03T19:00:00.000000000,434.69,462.00942,17
2022-07-03T20:00:00.000000000,431.39,454.3875,17
2022-07-03T21:00:00.000000000,424.06,456.88919,17
2022-07-03T22:00:00.000000000,418.01,455.35557,17
2022-07-03T23:00:00.000000000,416.58,462.73828,17
2022-07-04T00:00:00.000000000,417.33,463.68046,17
2022-07-04T01:00:00.000000000,436.32,479.87791,17
2022-07-04T02:00:00.000000000,461.6,497.15191,17
2022-07-04T03:00:00.000000000,477.35,509.21349,17
2022-07-04T04:00:00.000000000,481.62,521.11203,17
2022-07-04T05:00:00.000000000,482.1,528.01491,17
2022-07-04T06:00:00.000000000,489.41,537.48162,17
2022-07-04T07:00:00.000000000,502.28,552.88387,17
2022-07-04T08:00:00.000000000,531.45,576.17676,17
2022-07-04T09:00:00.000000000,560.78,596.75319,17
2022-07-04T10:00:00.000000000,556.32,608.70132,17
2022-07-04T11:00:00.000000000,574.44,609.63191,17
2022-07-04T12:00:00.000000000,589.24,608.36484,17
2022-07-04T13:00:00.000000000,580.82,597.68636,17
2022-07-04T14:00:00.000000000,574.18,581.5273,17
2022-07-04T15:00:00.000000000,557.14,561.19352,17
2022-07-04T16:00:00.000000000,517.37,538.74041,17
2022-07-04T17:00:00.000000000,498.19,504.18489,17
2022-07-04T18:00:00.000000000,486.42,469.84116,17
2022-07-04T19:00:00.000000000,436.79,458.23699,17
2022-07-04T20:00:00.000000000,425.26,451.12318,17
2022-07-04T21:00:00.000000000,423.91,454.51619,17
2022-07-04T22:00:00.000000000,412.08,453.84962,17
2022-07-04T23:00:00.000000000,421.49,462.45563,17
2022-07-05T00:00:00.000000000,448.46,461.81518,17
2022-07-05T01:00:00.000000000,448.74,477.02489,17
2022-07-05T02:00:00.000000000,473.19,493.49132,17
2022-07-05T03:00:00.000000000,495.12,505.23233,17
2022-07-05T04:00:00.000000000,507.23,516.908,17
2022-07-05T05:00:00.000000000,513.37,523.87893,17
2022-07-05T06:00:00.000000000,522.43,533.30372,17
2022-07-05T07:00:00.000000000,529.11,548.75828,17
2022-07-05T08:00:00.000000000,544.31,572.1098,17
2022-07-05T09:00:00.000000000,542.23,592.83671,17
2022-07-05T10:00:00.000000000,547.57,604.96717,17
2022-07-05T11:00:00.000000000,555.87,606.17128,17
2022-07-05T12:00:00.000000000,562.38,605.25394,17
2022-07-05T13:00:00.000000000,572.04,595.04489,17
2022-07-05T14:00:00.000000000,575.35,579.37021,17
2022-07-05T15:00:00.000000000,566.76,559.62199,17
2022-07-05T16:00:00.000000000,532.02,537.95298,17
2022-07-05T17:00:00.000000000,493.18,504.19191,17
2022-07-05T18:00:00.000000000,477.88,470.30845,17
2022-07-05T19:00:00.000000000,484.25,458.80214,17
2022-07-05T20:00:00.000000000,483.02,451.42111,17
2022-07-05T21:00:00.000000000,472.84,454.32427,17
2022-07-05T22:00:00.000000000,459.26,453.18112,17
2022-07-05T23:00:00.000000000,456.1,461.16256,17
2022-07-03T00:00:00.000000000,475.74,461.21552,17
2022-07-03T01:00:00.000000000,477.0,474.2415,17
2022-07-03T02:00:00.000000000,476.29,488.68932,17
2022-07-03T03:00:00.000000000,491.17,499.57579,17
2022-07-03T04:00:00.000000000,499.47,510.58997,17
2022-07-03T05:00:00.000000000,503.79,517.71173,17
2022-07-03T06:00:00.000000000,498.87,526.90757,17
2022-07-03T07:00:00.000000000,513.51,542.27767,17
2022-07-03T08:00:00.000000000,551.19,565.40076,17
2022-07-03T09:00:00.000000000,578.45,585.90221,17
2022-07-03T10:00:00.000000000,584.67,597.86108,17
2022-07-03T11:00:00.000000000,591.09,599.22401,17
2022-07-03T12:00:00.000000000,603.45,598.68644,17
2022-07-03T13:00:00.000000000,610.53,589.29005,17
2022-07-03T14:00:00.000000000,607.81,574.74594,17
2022-07-03T15:00:00.000000000,510.62,556.5054,17
2022-07-03T16:00:00.000000000,469.01,537.0155,17
2022-07-03T17:00:00.000000000,456.37,505.84144,17
2022-07-03T18:00:00.000000000,447.81,473.74541,17
2022-07-03T19:00:00.000000000,434.69,463.04769,17
2022-07-03T20:00:00.000000000,431.39,455.2612,17
2022-07-03T21:00:00.000000000,424.06,457.10187,17
2022-07-03T22:00:00.000000000,418.01,454.88362,17
2022-07-03T23:00:00.000000000,416.58,461.41367,17
2022-07-04T00:00:00.000000000,417.33,459.06556,17
2022-07-04T01:00:00.000000000,436.32,474.46742,17
2022-07-04T02:00:00.000000000,461.6,491.18779,17
2022-07-04T03:00:00.000000000,477.35,503.08053,17
2022-07-04T04:00:00.000000000,481.62,514.91795,17
2022-07-04T05:00:00.000000000,482.1,521.96606,17
2022-07-04T06:00:00.000000000,489.41,531.49286,17
2022-07-04T07:00:00.000000000,502.28,546.95964,17
2022-07-04T08:00:00.000000000,531.45,570.38078,17
2022-07-04T09:00:00.000000000,560.78,591.21789,17
2022-07-04T10:00:00.000000000,556.32,603.5199,17
2022-07-04T11:00:00.000000000,574.44,604.92897,17
2022-07-04T12:00:00.000000000,589.24,604.24504,17
2022-07-04T13:00:00.000000000,580.82,594.23231,17
2022-07-04T14:00:00.000000000,574.18,578.63507,17
2022-07-04T15:00:00.000000000,557.14,558.80533,17
2022-07-04T16:00:00.000000000,517.37,536.83001,17
2022-07-04T17:00:00.000000000,498.19,502.59271,17
2022-07-04T18:00:00.000000000,486.42,468.30112,17
2022-07-04T19:00:00.000000000,436.79,456.42413,17
2022-07-04T20:00:00.000000000,425.26,448.84288,17
2022-07-04T21:00:00.000000000,423.91,451.61707,17
2022-07-04T22:00:00.000000000,412.08,450.44677,17
2022-07-04T23:00:00.000000000,421.49,458.42903,17
2022-07-05T00:00:00.000000000,448.46,456.27166,17
2022-07-05T01:00:00.000000000,448.74,471.73092,17
2022-07-05T02:00:00.000000000,473.19,488.63909,17
2022-07-05T03:00:00.000000000,495.12,500.67216,17
2022-07-05T04:00:00.000000000,507.23,512.64889,17
2022-07-05T05:00:00.000000000,513.37,519.86217,17
2022-07-05T06:00:00.000000000,522.43,529.55628,17
2022-07-05T07:00:00.000000000,529.11,545.17648,17
2022-07-05T08:00:00.000000000,544.31,568.85994,17
2022-07-05T09:00:00.000000000,542.23,589.91397,17
2022-07-05T10:00:00.000000000,547.57,602.33746,17
2022-07-05T11:00:00.000000000,555.87,603.73439,17
2022-07-05T12:00:00.000000000,562.38,602.97489,17
2022-07-05T13:00:00.000000000,572.04,592.78296,17
2022-07-05T14:00:00.000000000,575.35,576.90448,17
2022-07-05T15:00:00.000000000,566.76,556.76553,17
2022-07-05T16:00:00.000000000,532.02,534.48267,17
2022-07-05T17:00:00.000000000,493.18,499.82549,17
2022-07-05T18:00:00.000000000,477.88,465.33697,17
2022-07-05T19:00:00.000000000,484.25,453.38484,17
2022-07-05T20:00:00.000000000,483.02,445.83222,17
2022-07-05T21:00:00.000000000,472.84,448.66118,17
2022-07-05T22:00:00.000000000,459.26,447.57797,17
2022-07-05T23:00:00.000000000,456.1,455.61895,17
2022-07-06T00:00:00.000000000,454.04,458.61872,17
2022-07-06T01:00:00.000000000,455.67,474.22532,17
2022-07-06T02:00:00.000000000,475.68,491.15837,17
2022-07-06T03:00:00.000000000,493.8,503.11167,17
2022-07-06T04:00:00.000000000,491.57,514.9326,17
2022-07-06T05:00:00.000000000,490.06,521.87917,17
2022-07-06T06:00:00.000000000,520.2,531.35081,17
2022-07-06T07:00:00.000000000,567.43,546.83647,17
2022-07-06T08:00:00.000000000,608.56,570.35626,17
2022-07-06T09:00:00.000000000,628.75,591.342,17
2022-07-06T10:00:00.000000000,651.96,603.76604,17
2022-07-06T11:00:00.000000000,678.74,605.23372,17
2022-07-06T12:00:00.000000000,669.54,604.57169,17
2022-07-06T13:00:00.000000000,647.57,594.50795,17
2022-07-06T14:00:00.000000000,614.83,578.75946,17
2022-07-06T15:00:00.000000000,549.24,558.74496,17
2022-07-06T16:00:00.000000000,521.96,536.50261,17
2022-07-06T17:00:00.000000000,499.54,501.87913,17
2022-07-06T18:00:00.000000000,485.9,467.32149,17
2022-07-06T19:00:00.000000000,476.25,455.31573,17
2022-07-06T20:00:00.000000000,469.07,447.81256,17
2022-07-06T21:00:00.000000000,465.63,450.75607,17
2022-07-06T22:00:00.000000000,459.6,449.75309,17
2022-07-06T23:00:00.000000000,458.57,457.97365,17
2022-07-04T00:00:00.000000000,417.33,452.19961,17
2022-07-04T01:00:00.000000000,436.32,468.80849,17
2022-07-04T02:00:00.000000000,461.6,486.28451,17
2022-07-04T03:00:00.000000000,477.35,499.01048,17
2022-07-04T04:00:00.000000000,481.62,511.35319,17
2022-07-04T05:00:00.000000000,482.1,518.91168,17
2022-07-04T06:00:00.000000000,489.41,528.87173,17
2022-07-04T07:00:00.000000000,502.28,545.18345,17
2022-07-04T08:00:00.000000000,531.45,569.36178,17
2022-07-04T09:00:00.000000000,560.78,590.39618,17
2022-07-04T10:00:00.000000000,556.32,601.89665,17
2022-07-04T11:00:00.000000000,574.44,601.8603,17
2022-07-04T12:00:00.000000000,589.24,599.34224,17
2022-07-04T13:00:00.000000000,580.82,587.60738,17
2022-07-04T14:00:00.000000000,574.18,570.45138,17
2022-07-04T15:00:00.000000000,557.14,549.18357,17
2022-07-04T16:00:00.000000000,517.37,526.1476,17
2022-07-04T17:00:00.000000000,498.19,491.389,17
2022-07-04T18:00:00.000000000,486.42,457.54319,17
2022-07-04T19:00:00.000000000,436.79,446.2771,17
2022-07-04T20:00:00.000000000,425.26,439.53645,17
2022-07-04T21:00:00.000000000,423.91,442.88817,17
2022-07-04T22:00:00.000000000,412.08,442.16949,17
2022-07-04T23:00:00.000000000,421.49,451.12103,17
2022-07-05T00:00:00.000000000,448.46,454.61433,17
2022-07-05T01:00:00.000000000,448.74,470.82776,17
2022-07-05T02:00:00.000000000,473.19,488.40553,17
2022-07-05T03:00:00.000000000,495.12,500.78843,17
2022-07-05T04:00:00.000000000,507.23,513.02502,17
2022-07-05T05:00:00.000000000,513.37,520.30775,17
2022-07-05T06:00:00.000000000,522.43,530.15348,17
2022-07-05T07:00:00.000000000,529.11,545.92689,17
2022-07-05T08:00:00.000000000,544.31,569.81277,17
2022-07-05T09:00:00.000000000,542.23,590.97767,17
2022-07-05T10:00:00.000000000,547.57,603.35854,17
2022-07-05T11:00:00.000000000,555.87,604.54466,17
2022-07-05T12:00:00.000000000,562.38,603.46729,17
2022-07-05T13:00:00.000000000,572.04,592.84917,17
2022-07-05T14:00:00.000000000,575.35,576.45949,17
2022-07-05T15:00:00.000000000,566.76,555.69834,17
2022-07-05T16:00:00.000000000,532.02,532.64803,17
2022-07-05T17:00:00.000000000,493.18,497.17862,17
2022-07-05T18:00:00.000000000,477.88,462.25368,17
2022-07-05T19:00:00.000000000,484.25,450.13411,17
2022-07-05T20:00:00.000000000,483.02,442.75759,17
2022-07-05T21:00:00.000000000,472.84,445.88683,17
2022-07-05T22:00:00.000000000,459.26,445.12455,17
2022-07-05T23:00:00.000000000,456.1,453.65358,17
2022-07-06T00:00:00.000000000,454.04,452.45151,17
2022-07-06T01:00:00.000000000,455.67,468.63384,17
2022-07-06T02:00:00.000000000,475.68,486.41771,17
2022-07-06T03:00:00.000000000,493.8,498.88943,17
2022-07-06T04:00:00.000000000,491.57,511.3148,17
2022-07-06T05:00:00.000000000,490.06,518.74773,17
2022-07-06T06:00:00.000000000,520.2,528.90667,17
2022-07-06T07:00:00.000000000,567.43,544.93465,17
2022-07-06T08:00:00.000000000,608.56,569.25135,17
2022-07-06T09:00:00.000000000,628.75,590.96764,17
2022-07-06T10:00:00.000000000,651.96,604.00631,17
2022-07-06T11:00:00.000000000,678.74,605.79723,17
2022-07-06T12:00:00.000000000,669.54,605.22593,17
2022-07-06T13:00:00.000000000,647.57,594.89395,17
2022-07-06T14:00:00.000000000,614.83,578.5389,17
2022-07-06T15:00:00.000000000,549.24,557.58857,17
2022-07-06T16:00:00.000000000,521.96,534.01174,17
2022-07-06T17:00:00.000000000,499.54,497.66871,17
2022-07-06T18:00:00.000000000,485.9,461.88758,17
2022-07-06T19:00:00.000000000,476.25,449.08459,17
2022-07-06T20:00:00.000000000,469.07,441.28948,17
2022-07-06T21:00:00.000000000,465.63,444.15088,17
2022-07-06T22:00:00.000000000,459.6,443.26719,17
2022-07-06T23:00:00.000000000,458.57,451.7127,17
2022-07-07T00:00:00.000000000,459.72,449.62522,17
2022-07-07T01:00:00.000000000,438.31,466.15265,17
2022-07-07T02:00:00.000000000,447.68,484.24796,17
2022-07-07T03:00:00.000000000,477.17,496.92657,17
2022-07-07T04:00:00.000000000,480.59,509.43601,17
2022-07-07T05:00:00.000000000,494.61,516.80003,17
2022-07-07T06:00:00.000000000,500.57,526.99756,17
2022-07-07T07:00:00.000000000,541.04,543.29283,17
2022-07-07T08:00:00.000000000,565.5,567.97614,17
2022-07-07T09:00:00.000000000,587.53,590.17531,17
2022-07-07T10:00:00.000000000,614.76,603.56609,17
2022-07-07T11:00:00.000000000,633.58,605.57745,17
2022-07-07T12:00:00.000000000,670.06,605.10875,17
2022-07-07T13:00:00.000000000,677.38,594.82355,17
2022-07-07T14:00:00.000000000,650.18,578.32825,17
2022-07-07T15:00:00.000000000,575.54,557.07576,17
2022-07-07T16:00:00.000000000,536.79,532.96387,17
2022-07-07T17:00:00.000000000,527.45,495.90463,17
2022-07-07T18:00:00.000000000,522.35,459.52728,17
2022-07-07T19:00:00.000000000,506.43,446.24161,17
2022-07-07T20:00:00.000000000,496.97,438.35447,17
2022-07-07T21:00:00.000000000,473.23,441.20236,17
2022-07-07T22:00:00.000000000,464.71,440.35679,17
