datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,14.18,12.98572,5
2022-07-01T01:00:00.000000000,14.22,12.27752,5
2022-07-01T02:00:00.000000000,15.13,12.49289,5
2022-07-01T03:00:00.000000000,15.25,12.80238,5
2022-07-01T04:00:00.000000000,14.91,13.24215,5
2022-07-01T05:00:00.000000000,14.55,13.25093,5
2022-07-01T06:00:00.000000000,7.84,13.57987,5
2022-07-01T07:00:00.000000000,7.36,13.88702,5
2022-07-01T08:00:00.000000000,6.97,13.86145,5
2022-07-01T09:00:00.000000000,7.76,14.03725,5
2022-07-01T10:00:00.000000000,7.88,14.24638,5
2022-07-01T11:00:00.000000000,8.5,14.21515,5
2022-07-01T12:00:00.000000000,8.34,14.08258,5
2022-07-01T13:00:00.000000000,8.18,13.75973,5
2022-07-01T14:00:00.000000000,8.03,13.83517,5
2022-07-01T15:00:00.000000000,7.99,14.01117,5
2022-07-01T16:00:00.000000000,7.96,14.43131,5
2022-07-01T17:00:00.000000000,7.71,14.76644,5
2022-07-01T18:00:00.000000000,7.65,14.67578,5
2022-07-01T19:00:00.000000000,8.2,14.33975,5
2022-07-01T20:00:00.000000000,7.92,14.0215,5
2022-07-01T21:00:00.000000000,7.86,13.75101,5
2022-07-01T22:00:00.000000000,7.91,13.28363,5
2022-07-01T23:00:00.000000000,7.97,12.8108,5
2022-07-02T00:00:00.000000000,7.88,10.79127,5
2022-07-02T01:00:00.000000000,7.92,10.10723,5
2022-07-02T02:00:00.000000000,7.74,10.3579,5
2022-07-02T03:00:00.000000000,6.88,10.65742,5
2022-07-02T04:00:00.000000000,6.75,11.06093,5
2022-07-02T05:00:00.000000000,6.86,11.09823,5
2022-07-02T06:00:00.000000000,6.68,11.54301,5
2022-07-02T07:00:00.000000000,7.25,11.87788,5
2022-07-02T08:00:00.000000000,8.25,11.84778,5
2022-07-02T09:00:00.000000000,8.31,11.93819,5
2022-07-02T10:00:00.000000000,8.13,12.0344,5
2022-07-02T11:00:00.000000000,8.32,11.90996,5
2022-07-02T12:00:00.000000000,8.28,11.75709,5
2022-07-02T13:00:00.000000000,8.21,11.46201,5
2022-07-02T14:00:00.000000000,7.92,11.55643,5
2022-07-02T15:00:00.000000000,8.12,11.66167,5
2022-07-02T16:00:00.000000000,7.9,12.04514,5
2022-07-02T17:00:00.000000000,7.68,12.44063,5
2022-07-02T18:00:00.000000000,7.67,12.42261,5
2022-07-02T19:00:00.000000000,7.64,12.18153,5
2022-07-02T20:00:00.000000000,7.54,11.88884,5
2022-07-02T21:00:00.000000000,7.51,11.55667,5
2022-07-02T22:00:00.000000000,7.28,11.00126,5
2022-07-02T23:00:00.000000000,7.4,10.51089,5
2022-07-03T00:00:00.000000000,7.16,9.53382,5
2022-07-03T01:00:00.000000000,7.07,8.90019,5
2022-07-03T02:00:00.000000000,6.89,9.16613,5
2022-07-03T03:00:00.000000000,7.19,9.43913,5
2022-07-03T04:00:00.000000000,7.0,9.80814,5
2022-07-03T05:00:00.000000000,6.95,9.85757,5
2022-07-03T06:00:00.000000000,7.46,10.38007,5
2022-07-03T07:00:00.000000000,7.68,10.73258,5
2022-07-03T08:00:00.000000000,7.55,10.69014,5
2022-07-03T09:00:00.000000000,7.69,10.72142,5
2022-07-03T10:00:00.000000000,7.63,10.73629,5
2022-07-03T11:00:00.000000000,7.69,10.55361,5
2022-07-03T12:00:00.000000000,7.5,10.39506,5
2022-07-03T13:00:00.000000000,7.46,10.14832,5
2022-07-03T14:00:00.000000000,8.03,10.2758,5
2022-07-03T15:00:00.000000000,8.03,10.32689,5
2022-07-03T16:00:00.000000000,7.83,10.67603,5
2022-07-03T17:00:00.000000000,7.76,11.10208,5
2022-07-03T18:00:00.000000000,7.59,11.14181,5
2022-07-03T19:00:00.000000000,7.79,10.97837,5
2022-07-03T20:00:00.000000000,7.58,10.69779,5
2022-07-03T21:00:00.000000000,7.83,10.30544,5
2022-07-03T22:00:00.000000000,7.77,9.67738,5
2022-07-03T23:00:00.000000000,7.55,9.19107,5
2022-07-04T00:00:00.000000000,7.28,8.82219,5
2022-07-04T01:00:00.000000000,7.34,8.23538,5
2022-07-04T02:00:00.000000000,6.92,8.50958,5
2022-07-04T03:00:00.000000000,6.97,8.76012,5
2022-07-04T04:00:00.000000000,7.22,9.10523,5
2022-07-04T05:00:00.000000000,6.94,9.15863,5
2022-07-04T06:00:00.000000000,6.62,9.72721,5
2022-07-04T07:00:00.000000000,7.15,10.08602,5
2022-07-04T08:00:00.000000000,7.27,10.02722,5
2022-07-04T09:00:00.000000000,7.76,10.01851,5
2022-07-04T10:00:00.000000000,7.74,9.97975,5
2022-07-04T11:00:00.000000000,7.76,9.76373,5
2022-07-04T12:00:00.000000000,7.66,9.60671,5
2022-07-04T13:00:00.000000000,7.75,9.40532,5
2022-07-04T14:00:00.000000000,8.04,9.56428,5
2022-07-04T15:00:00.000000000,7.96,9.58254,5
2022-07-04T16:00:00.000000000,8.08,9.90967,5
2022-07-04T17:00:00.000000000,8.08,10.35156,5
2022-07-04T18:00:00.000000000,7.87,10.42868,5
2022-07-04T19:00:00.000000000,7.86,10.31466,5
2022-07-04T20:00:00.000000000,8.42,10.03622,5
2022-07-04T21:00:00.000000000,9.26,9.59745,5
2022-07-04T22:00:00.000000000,8.89,8.92074,5
2022-07-04T23:00:00.000000000,8.96,8.44434,5
2022-07-02T00:00:00.000000000,7.88,8.94012,5
2022-07-02T01:00:00.000000000,7.92,8.34447,5
2022-07-02T02:00:00.000000000,7.74,8.61729,5
2022-07-02T03:00:00.000000000,6.88,8.87194,5
2022-07-02T04:00:00.000000000,6.75,9.22123,5
2022-07-02T05:00:00.000000000,6.86,9.27417,5
2022-07-02T06:00:00.000000000,6.68,9.83505,5
2022-07-02T07:00:00.000000000,7.25,10.19312,5
2022-07-02T08:00:00.000000000,8.25,10.13769,5
2022-07-02T09:00:00.000000000,8.31,10.13603,5
2022-07-02T10:00:00.000000000,8.13,10.10662,5
2022-07-02T11:00:00.000000000,8.32,9.89613,5
2022-07-02T12:00:00.000000000,8.28,9.73855,5
2022-07-02T13:00:00.000000000,8.21,9.52855,5
2022-07-02T14:00:00.000000000,7.92,9.68151,5
2022-07-02T15:00:00.000000000,8.12,9.70526,5
2022-07-02T16:00:00.000000000,7.9,10.03611,5
2022-07-02T17:00:00.000000000,7.68,10.47544,5
2022-07-02T18:00:00.000000000,7.67,10.54613,5
2022-07-02T19:00:00.000000000,7.64,10.42369,5
2022-07-02T20:00:00.000000000,7.54,10.14523,5
2022-07-02T21:00:00.000000000,7.51,9.71488,5
2022-07-02T22:00:00.000000000,7.28,9.04658,5
2022-07-02T23:00:00.000000000,7.4,8.56807,5
2022-07-03T00:00:00.000000000,7.16,9.64905,5
2022-07-03T01:00:00.000000000,7.07,9.00922,5
2022-07-03T02:00:00.000000000,6.89,9.27382,5
2022-07-03T03:00:00.000000000,7.19,9.54994,5
2022-07-03T04:00:00.000000000,7.0,9.92252,5
2022-07-03T05:00:00.000000000,6.95,9.97108,5
2022-07-03T06:00:00.000000000,7.46,10.48622,5
2022-07-03T07:00:00.000000000,7.68,10.83737,5
2022-07-03T08:00:00.000000000,7.55,10.79679,5
2022-07-03T09:00:00.000000000,7.69,10.83401,5
2022-07-03T10:00:00.000000000,7.63,10.85699,5
2022-07-03T11:00:00.000000000,7.69,10.67971,5
2022-07-03T12:00:00.000000000,7.5,10.52128,5
2022-07-03T13:00:00.000000000,7.46,10.26858,5
2022-07-03T14:00:00.000000000,8.03,10.39195,5
2022-07-03T15:00:00.000000000,8.03,10.44826,5
2022-07-03T16:00:00.000000000,7.83,10.80083,5
2022-07-03T17:00:00.000000000,7.76,11.22423,5
2022-07-03T18:00:00.000000000,7.59,11.25821,5
2022-07-03T19:00:00.000000000,7.79,11.08711,5
2022-07-03T20:00:00.000000000,7.58,10.80579,5
2022-07-03T21:00:00.000000000,7.83,10.42002,5
2022-07-03T22:00:00.000000000,7.77,9.79933,5
2022-07-03T23:00:00.000000000,7.55,9.31201,5
2022-07-04T00:00:00.000000000,7.28,10.61051,5
2022-07-04T01:00:00.000000000,7.34,9.93162,5
2022-07-04T02:00:00.000000000,6.92,10.18461,5
2022-07-04T03:00:00.000000000,6.97,10.48131,5
2022-07-04T04:00:00.000000000,7.22,10.88048,5
2022-07-04T05:00:00.000000000,6.94,10.91982,5
2022-07-04T06:00:00.000000000,6.62,11.37536,5
2022-07-04T07:00:00.000000000,7.15,11.71299,5
2022-07-04T08:00:00.000000000,7.27,11.68197,5
2022-07-04T09:00:00.000000000,7.76,11.76455,5
2022-07-04T10:00:00.000000000,7.74,11.84995,5
2022-07-04T11:00:00.000000000,7.76,11.71726,5
2022-07-04T12:00:00.000000000,7.66,11.56309,5
2022-07-04T13:00:00.000000000,7.75,11.27295,5
2022-07-04T14:00:00.000000000,8.04,11.37071,5
2022-07-04T15:00:00.000000000,7.96,11.46863,5
2022-07-04T16:00:00.000000000,8.08,11.84765,5
2022-07-04T17:00:00.000000000,8.08,12.24775,5
2022-07-04T18:00:00.000000000,7.87,12.23735,5
2022-07-04T19:00:00.000000000,7.86,12.00654,5
2022-07-04T20:00:00.000000000,8.42,11.716,5
2022-07-04T21:00:00.000000000,9.26,11.3766,5
2022-07-04T22:00:00.000000000,8.89,10.81182,5
2022-07-04T23:00:00.000000000,8.96,10.32119,5
2022-07-05T00:00:00.000000000,8.81,11.40773,5
2022-07-05T01:00:00.000000000,8.56,10.71049,5
2022-07-05T02:00:00.000000000,8.44,10.95267,5
2022-07-05T03:00:00.000000000,8.72,11.25943,5
2022-07-05T04:00:00.000000000,8.87,11.67618,5
2022-07-05T05:00:00.000000000,9.01,11.70602,5
2022-07-05T06:00:00.000000000,8.92,12.11533,5
2022-07-05T07:00:00.000000000,9.15,12.44093,5
2022-07-05T08:00:00.000000000,9.65,12.41277,5
2022-07-05T09:00:00.000000000,9.91,12.52866,5
2022-07-05T10:00:00.000000000,10.26,12.65983,5
2022-07-05T11:00:00.000000000,10.48,12.56305,5
2022-07-05T12:00:00.000000000,11.49,12.41537,5
2022-07-05T13:00:00.000000000,16.76,12.10731,5
2022-07-05T14:00:00.000000000,24.51,12.19297,5
2022-07-05T15:00:00.000000000,24.32,12.32171,5
2022-07-05T16:00:00.000000000,23.98,12.71884,5
2022-07-05T17:00:00.000000000,24.17,13.09815,5
2022-07-05T18:00:00.000000000,24.25,13.05595,5
2022-07-05T19:00:00.000000000,22.87,12.78245,5
2022-07-05T20:00:00.000000000,24.32,12.48207,5
2022-07-05T21:00:00.000000000,24.99,12.17151,5
2022-07-05T22:00:00.000000000,23.43,11.64553,5
2022-07-05T23:00:00.000000000,22.94,11.15767,5
2022-07-03T00:00:00.000000000,7.16,7.95212,5
2022-07-03T01:00:00.000000000,7.07,7.44593,5
2022-07-03T02:00:00.000000000,6.89,7.73074,5
2022-07-03T03:00:00.000000000,7.19,7.9457,5
2022-07-03T04:00:00.000000000,7.0,8.2573,5
2022-07-03T05:00:00.000000000,6.95,8.31122,5
2022-07-03T06:00:00.000000000,7.46,8.93684,5
2022-07-03T07:00:00.000000000,7.68,9.29573,5
2022-07-03T08:00:00.000000000,7.55,9.20151,5
2022-07-03T09:00:00.000000000,7.69,9.1342,5
2022-07-03T10:00:00.000000000,7.63,9.0196,5
2022-07-03T11:00:00.000000000,7.69,8.76281,5
2022-07-03T12:00:00.000000000,7.5,8.61444,5
2022-07-03T13:00:00.000000000,7.46,8.49221,5
2022-07-03T14:00:00.000000000,8.03,8.70664,5
2022-07-03T15:00:00.000000000,8.03,8.68437,5
2022-07-03T16:00:00.000000000,7.83,8.98394,5
2022-07-03T17:00:00.000000000,7.76,9.44433,5
2022-07-03T18:00:00.000000000,7.59,9.57188,5
2022-07-03T19:00:00.000000000,7.79,9.52236,5
2022-07-03T20:00:00.000000000,7.58,9.23911,5
2022-07-03T21:00:00.000000000,7.83,8.72842,5
2022-07-03T22:00:00.000000000,7.77,7.98566,5
