datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,247.13,255.63788,11
2022-07-01T01:00:00.000000000,231.49,252.60871,11
2022-07-01T02:00:00.000000000,229.21,246.62147,11
2022-07-01T03:00:00.000000000,217.83,241.10786,11
2022-07-01T04:00:00.000000000,225.21,234.73022,11
2022-07-01T05:00:00.000000000,222.06,227.70774,11
2022-07-01T06:00:00.000000000,223.02,223.2679,11
2022-07-01T07:00:00.000000000,231.05,220.32369,11
2022-07-01T08:00:00.000000000,223.35,219.00894,11
2022-07-01T09:00:00.000000000,220.9,220.27772,11
2022-07-01T10:00:00.000000000,221.16,224.08005,11
2022-07-01T11:00:00.000000000,223.93,227.44436,11
2022-07-01T12:00:00.000000000,233.98,229.98874,11
2022-07-01T13:00:00.000000000,238.31,231.14969,11
2022-07-01T14:00:00.000000000,240.17,231.88921,11
2022-07-01T15:00:00.000000000,240.59,234.24537,11
2022-07-01T16:00:00.000000000,238.29,236.84315,11
2022-07-01T17:00:00.000000000,234.63,240.21721,11
2022-07-01T18:00:00.000000000,245.16,243.44306,11
2022-07-01T19:00:00.000000000,248.7,246.94473,11
2022-07-01T20:00:00.000000000,246.55,249.97405,11
2022-07-01T21:00:00.000000000,242.96,253.03405,11
2022-07-01T22:00:00.000000000,246.94,254.15038,11
2022-07-01T23:00:00.000000000,249.31,255.86927,11
2022-07-02T00:00:00.000000000,255.02,255.96669,11
2022-07-02T01:00:00.000000000,262.64,251.52835,11
2022-07-02T02:00:00.000000000,265.12,243.93631,11
2022-07-02T03:00:00.000000000,258.04,237.05133,11
2022-07-02T04:00:00.000000000,242.75,229.76892,11
2022-07-02T05:00:00.000000000,225.96,222.50003,11
2022-07-02T06:00:00.000000000,220.59,218.60447,11
2022-07-02T07:00:00.000000000,211.14,217.20379,11
2022-07-02T08:00:00.000000000,208.26,217.25431,11
2022-07-02T09:00:00.000000000,209.25,219.13967,11
2022-07-02T10:00:00.000000000,210.51,222.52502,11
2022-07-02T11:00:00.000000000,210.97,224.61529,11
2022-07-02T12:00:00.000000000,209.77,224.93882,11
2022-07-02T13:00:00.000000000,208.94,223.76009,11
2022-07-02T14:00:00.000000000,221.7,222.64953,11
2022-07-02T15:00:00.000000000,236.57,223.8855,11
2022-07-02T16:00:00.000000000,257.47,226.6903,11
2022-07-02T17:00:00.000000000,264.85,231.7619,11
2022-07-02T18:00:00.000000000,265.53,237.69263,11
2022-07-02T19:00:00.000000000,260.0,244.44462,11
2022-07-02T20:00:00.000000000,256.72,250.71387,11
2022-07-02T21:00:00.000000000,254.82,256.30731,11
2022-07-02T22:00:00.000000000,250.7,258.69757,11
2022-07-02T23:00:00.000000000,250.18,260.69981,11
2022-07-03T00:00:00.000000000,255.86,252.90793,11
2022-07-03T01:00:00.000000000,268.05,247.87425,11
2022-07-03T02:00:00.000000000,272.05,239.7782,11
2022-07-03T03:00:00.000000000,277.06,232.43123,11
2022-07-03T04:00:00.000000000,261.03,224.86926,11
2022-07-03T05:00:00.000000000,253.17,217.86456,11
2022-07-03T06:00:00.000000000,246.79,214.52729,11
2022-07-03T07:00:00.000000000,243.66,213.79678,11
2022-07-03T08:00:00.000000000,231.71,214.23644,11
2022-07-03T09:00:00.000000000,212.24,216.12963,11
2022-07-03T10:00:00.000000000,212.01,219.47269,11
2022-07-03T11:00:00.000000000,213.33,221.3391,11
2022-07-03T12:00:00.000000000,206.13,221.62425,11
2022-07-03T13:00:00.000000000,214.74,220.79012,11
2022-07-03T14:00:00.000000000,235.56,220.63942,11
2022-07-03T15:00:00.000000000,259.61,223.39831,11
2022-07-03T16:00:00.000000000,262.33,227.66872,11
2022-07-03T17:00:00.000000000,256.45,233.83334,11
2022-07-03T18:00:00.000000000,272.38,240.23427,11
2022-07-03T19:00:00.000000000,290.71,246.65237,11
2022-07-03T20:00:00.000000000,293.59,252.09902,11
2022-07-03T21:00:00.000000000,291.93,256.75687,11
2022-07-03T22:00:00.000000000,263.45,258.05585,11
2022-07-03T23:00:00.000000000,255.88,258.95136,11
2022-07-04T00:00:00.000000000,255.01,251.62392,11
2022-07-04T01:00:00.000000000,258.82,246.33304,11
2022-07-04T02:00:00.000000000,260.96,238.20123,11
2022-07-04T03:00:00.000000000,275.4,231.12492,11
2022-07-04T04:00:00.000000000,267.0,224.06719,11
2022-07-04T05:00:00.000000000,261.29,217.78204,11
2022-07-04T06:00:00.000000000,259.55,215.16876,11
2022-07-04T07:00:00.000000000,249.95,214.92704,11
2022-07-04T08:00:00.000000000,232.8,215.31454,11
2022-07-04T09:00:00.000000000,221.63,216.59516,11
2022-07-04T10:00:00.000000000,216.33,219.07509,11
2022-07-04T11:00:00.000000000,210.62,220.08265,11
2022-07-04T12:00:00.000000000,209.52,219.80214,11
2022-07-04T13:00:00.000000000,221.08,218.88665,11
2022-07-04T14:00:00.000000000,238.76,219.05181,11
2022-07-04T15:00:00.000000000,250.26,222.42839,11
2022-07-04T16:00:00.000000000,254.44,227.27862,11
2022-07-04T17:00:00.000000000,249.72,233.81507,11
2022-07-04T18:00:00.000000000,251.76,240.35816,11
2022-07-04T19:00:00.000000000,247.3,246.69891,11
2022-07-04T20:00:00.000000000,246.31,251.97223,11
2022-07-04T21:00:00.000000000,246.33,256.43544,11
2022-07-04T22:00:00.000000000,247.01,257.49867,11
2022-07-04T23:00:00.000000000,252.14,258.01548,11
2022-07-02T00:00:00.000000000,255.02,250.66899,11
2022-07-02T01:00:00.000000000,262.64,248.60731,11
2022-07-02T02:00:00.000000000,265.12,243.33541,11
2022-07-02T03:00:00.000000000,258.04,238.31467,11
2022-07-02T04:00:00.000000000,242.75,232.14048,11
2022-07-02T05:00:00.000000000,225.96,224.56568,11
2022-07-02T06:00:00.000000000,220.59,219.02802,11
2022-07-02T07:00:00.000000000,211.14,214.69459,11
2022-07-02T08:00:00.000000000,208.26,211.96302,11
2022-07-02T09:00:00.000000000,209.25,211.78675,11
2022-07-02T10:00:00.000000000,210.51,213.83532,11
2022-07-02T11:00:00.000000000,210.97,216.24458,11
2022-07-02T12:00:00.000000000,209.77,218.10188,11
2022-07-02T13:00:00.000000000,208.94,219.10452,11
2022-07-02T14:00:00.000000000,221.7,219.28923,11
2022-07-02T15:00:00.000000000,236.57,220.73608,11
2022-07-02T16:00:00.000000000,257.47,222.33333,11
2022-07-02T17:00:00.000000000,264.85,224.93992,11
2022-07-02T18:00:00.000000000,265.53,228.03969,11
2022-07-02T19:00:00.000000000,260.0,232.19198,11
2022-07-02T20:00:00.000000000,256.72,236.78572,11
2022-07-02T21:00:00.000000000,254.82,241.95828,11
2022-07-02T22:00:00.000000000,250.7,245.77478,11
2022-07-02T23:00:00.000000000,250.18,249.52274,11
2022-07-03T00:00:00.000000000,255.86,245.78776,11
2022-07-03T01:00:00.000000000,268.05,242.4393,11
2022-07-03T02:00:00.000000000,272.05,235.38356,11
2022-07-03T03:00:00.000000000,277.06,228.27619,11
2022-07-03T04:00:00.000000000,261.03,220.23896,11
2022-07-03T05:00:00.000000000,253.17,211.78302,11
2022-07-03T06:00:00.000000000,246.79,206.16531,11
2022-07-03T07:00:00.000000000,243.66,202.66008,11
2022-07-03T08:00:00.000000000,231.71,200.48267,11
2022-07-03T09:00:00.000000000,212.24,200.14155,11
2022-07-03T10:00:00.000000000,212.01,201.64484,11
2022-07-03T11:00:00.000000000,213.33,203.24109,11
2022-07-03T12:00:00.000000000,206.13,204.16533,11
2022-07-03T13:00:00.000000000,214.74,204.79416,11
2022-07-03T14:00:00.000000000,235.56,205.68814,11
2022-07-03T15:00:00.000000000,259.61,208.91707,11
2022-07-03T16:00:00.000000000,262.33,212.97273,11
2022-07-03T17:00:00.000000000,256.45,218.35686,11
2022-07-03T18:00:00.000000000,272.38,223.95559,11
2022-07-03T19:00:00.000000000,290.71,229.92873,11
2022-07-03T20:00:00.000000000,293.59,235.71581,11
2022-07-03T21:00:00.000000000,291.93,241.65951,11
2022-07-03T22:00:00.000000000,263.45,245.45684,11
2022-07-03T23:00:00.000000000,255.88,248.56105,11
2022-07-04T00:00:00.000000000,255.01,243.1742,11
2022-07-04T01:00:00.000000000,258.82,239.67497,11
2022-07-04T02:00:00.000000000,260.96,232.43826,11
2022-07-04T03:00:00.000000000,275.4,225.27811,11
2022-07-04T04:00:00.000000000,267.0,217.23509,11
2022-07-04T05:00:00.000000000,261.29,208.86738,11
2022-07-04T06:00:00.000000000,259.55,203.33867,11
2022-07-04T07:00:00.000000000,249.95,199.92276,11
2022-07-04T08:00:00.000000000,232.8,197.60722,11
2022-07-04T09:00:00.000000000,221.63,196.85263,11
2022-07-04T10:00:00.000000000,216.33,198.04982,11
2022-07-04T11:00:00.000000000,210.62,199.58823,11
2022-07-04T12:00:00.000000000,209.52,200.68868,11
2022-07-04T13:00:00.000000000,221.08,201.9263,11
2022-07-04T14:00:00.000000000,238.76,203.49336,11
2022-07-04T15:00:00.000000000,250.26,207.24006,11
2022-07-04T16:00:00.000000000,254.44,211.66323,11
2022-07-04T17:00:00.000000000,249.72,217.17848,11
2022-07-04T18:00:00.000000000,251.76,222.75133,11
2022-07-04T19:00:00.000000000,247.3,228.56396,11
2022-07-04T20:00:00.000000000,246.31,234.17341,11
2022-07-04T21:00:00.000000000,246.33,240.07057,11
2022-07-04T22:00:00.000000000,247.01,243.88136,11
2022-07-04T23:00:00.000000000,252.14,246.89658,11
2022-07-05T00:00:00.000000000,256.22,249.3488,11
2022-07-05T01:00:00.000000000,267.61,244.66537,11
2022-07-05T02:00:00.000000000,277.56,236.34882,11
2022-07-05T03:00:00.000000000,280.48,228.52466,11
2022-07-05T04:00:00.000000000,276.03,220.18717,11
2022-07-05T05:00:00.000000000,268.33,211.90849,11
2022-07-05T06:00:00.000000000,263.41,206.91873,11
2022-07-05T07:00:00.000000000,243.11,204.30821,11
2022-07-05T08:00:00.000000000,227.96,202.79166,11
2022-07-05T09:00:00.000000000,225.18,202.66406,11
2022-07-05T10:00:00.000000000,240.9,204.3136,11
2022-07-05T11:00:00.000000000,252.11,206.00248,11
2022-07-05T12:00:00.000000000,260.07,206.89062,11
2022-07-05T13:00:00.000000000,263.0,207.68556,11
2022-07-05T14:00:00.000000000,263.42,208.72209,11
2022-07-05T15:00:00.000000000,267.94,211.77502,11
2022-07-05T16:00:00.000000000,267.72,215.89782,11
2022-07-05T17:00:00.000000000,267.75,221.67512,11
2022-07-05T18:00:00.000000000,284.1,227.98581,11
2022-07-05T19:00:00.000000000,286.09,235.10157,11
2022-07-05T20:00:00.000000000,281.05,242.06864,11
2022-07-05T21:00:00.000000000,280.31,248.91141,11
2022-07-05T22:00:00.000000000,276.65,252.78141,11
2022-07-05T23:00:00.000000000,281.64,255.47965,11
2022-07-03T00:00:00.000000000,255.86,248.45988,11
2022-07-03T01:00:00.000000000,268.05,243.74623,11
2022-07-03T02:00:00.000000000,272.05,235.09142,11
2022-07-03T03:00:00.000000000,277.06,226.62908,11
2022-07-03T04:00:00.000000000,261.03,217.51666,11
2022-07-03T05:00:00.000000000,253.17,209.80289,11
2022-07-03T06:00:00.000000000,246.79,206.00365,11
2022-07-03T07:00:00.000000000,243.66,203.89022,11
2022-07-03T08:00:00.000000000,231.71,201.92374,11
2022-07-03T09:00:00.000000000,212.24,200.8484,11
2022-07-03T10:00:00.000000000,212.01,202.85432,11
2022-07-03T11:00:00.000000000,213.33,205.66067,11
2022-07-03T12:00:00.000000000,206.13,210.22873,11
2022-07-03T13:00:00.000000000,214.74,217.00908,11
2022-07-03T14:00:00.000000000,235.56,225.13091,11
2022-07-03T15:00:00.000000000,259.61,234.81483,11
2022-07-03T16:00:00.000000000,262.33,242.77801,11
2022-07-03T17:00:00.000000000,256.45,248.09331,11
2022-07-03T18:00:00.000000000,272.38,250.13946,11
