datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,331.84,327.08251,22
2022-07-01T01:00:00.000000000,334.59,327.66196,22
2022-07-01T02:00:00.000000000,343.92,323.34087,22
2022-07-01T03:00:00.000000000,325.47,314.0842,22
2022-07-01T04:00:00.000000000,303.34,302.31025,22
2022-07-01T05:00:00.000000000,286.96,291.05458,22
2022-07-01T06:00:00.000000000,271.46,282.32369,22
2022-07-01T07:00:00.000000000,257.51,275.95791,22
2022-07-01T08:00:00.000000000,256.48,272.90907,22
2022-07-01T09:00:00.000000000,258.54,273.89768,22
2022-07-01T10:00:00.000000000,266.54,278.65695,22
2022-07-01T11:00:00.000000000,279.22,286.27736,22
2022-07-01T12:00:00.000000000,294.23,294.31177,22
2022-07-01T13:00:00.000000000,298.4,301.36974,22
2022-07-01T14:00:00.000000000,285.98,306.99838,22
2022-07-01T15:00:00.000000000,274.48,311.88528,22
2022-07-01T16:00:00.000000000,296.73,314.99935,22
2022-07-01T17:00:00.000000000,322.07,318.07153,22
2022-07-01T18:00:00.000000000,345.34,320.38053,22
2022-07-01T19:00:00.000000000,349.03,321.45939,22
2022-07-01T20:00:00.000000000,343.12,321.42611,22
2022-07-01T21:00:00.000000000,331.99,321.57535,22
2022-07-01T22:00:00.000000000,323.32,322.63947,22
2022-07-01T23:00:00.000000000,325.39,324.95022,22
2022-07-02T00:00:00.000000000,312.21,322.52421,22
2022-07-02T01:00:00.000000000,307.63,315.88637,22
2022-07-02T02:00:00.000000000,316.77,303.19585,22
2022-07-02T03:00:00.000000000,308.66,287.74714,22
2022-07-02T04:00:00.000000000,293.95,272.59964,22
2022-07-02T05:00:00.000000000,282.36,260.90918,22
2022-07-02T06:00:00.000000000,267.25,254.25233,22
2022-07-02T07:00:00.000000000,272.68,251.22297,22
2022-07-02T08:00:00.000000000,277.8,251.6097,22
2022-07-02T09:00:00.000000000,276.49,255.48169,22
2022-07-02T10:00:00.000000000,288.74,262.58123,22
2022-07-02T11:00:00.000000000,298.93,271.96136,22
2022-07-02T12:00:00.000000000,308.74,280.27179,22
2022-07-02T13:00:00.000000000,309.66,285.3264,22
2022-07-02T14:00:00.000000000,289.55,287.85371,22
2022-07-02T15:00:00.000000000,279.62,290.54842,22
2022-07-02T16:00:00.000000000,289.53,292.56825,22
2022-07-02T17:00:00.000000000,307.63,295.92005,22
2022-07-02T18:00:00.000000000,322.43,300.04029,22
2022-07-02T19:00:00.000000000,331.57,302.76705,22
2022-07-02T20:00:00.000000000,331.09,303.84113,22
2022-07-02T21:00:00.000000000,317.3,305.16894,22
2022-07-02T22:00:00.000000000,306.73,307.73994,22
2022-07-02T23:00:00.000000000,291.54,311.4442,22
2022-07-03T00:00:00.000000000,289.01,312.28227,22
2022-07-03T01:00:00.000000000,295.7,305.94094,22
2022-07-03T02:00:00.000000000,306.41,292.99987,22
2022-07-03T03:00:00.000000000,310.67,277.05316,22
2022-07-03T04:00:00.000000000,311.41,261.37011,22
2022-07-03T05:00:00.000000000,310.62,248.96021,22
2022-07-03T06:00:00.000000000,301.36,241.2012,22
2022-07-03T07:00:00.000000000,295.25,237.2106,22
2022-07-03T08:00:00.000000000,293.51,236.52691,22
2022-07-03T09:00:00.000000000,298.44,239.51186,22
2022-07-03T10:00:00.000000000,305.97,245.86609,22
2022-07-03T11:00:00.000000000,304.09,253.89551,22
2022-07-03T12:00:00.000000000,310.2,259.45884,22
2022-07-03T13:00:00.000000000,300.5,259.05806,22
2022-07-03T14:00:00.000000000,274.14,252.47022,22
2022-07-03T15:00:00.000000000,260.53,245.90276,22
2022-07-03T16:00:00.000000000,272.8,240.502,22
2022-07-03T17:00:00.000000000,283.5,237.9178,22
2022-07-03T18:00:00.000000000,283.51,238.19392,22
2022-07-03T19:00:00.000000000,285.69,238.96376,22
2022-07-03T20:00:00.000000000,282.32,239.55921,22
2022-07-03T21:00:00.000000000,280.4,241.93618,22
2022-07-03T22:00:00.000000000,276.76,246.86656,22
2022-07-03T23:00:00.000000000,269.15,253.96595,22
2022-07-04T00:00:00.000000000,268.18,257.42511,22
2022-07-04T01:00:00.000000000,280.19,254.79611,22
2022-07-04T02:00:00.000000000,292.11,248.26774,22
2022-07-04T03:00:00.000000000,305.87,239.32227,22
2022-07-04T04:00:00.000000000,310.38,229.05962,22
2022-07-04T05:00:00.000000000,309.21,220.17351,22
2022-07-04T06:00:00.000000000,296.74,214.72764,22
2022-07-04T07:00:00.000000000,284.35,213.25947,22
2022-07-04T08:00:00.000000000,275.08,215.45668,22
2022-07-04T09:00:00.000000000,264.97,220.69083,22
2022-07-04T10:00:00.000000000,258.1,227.9523,22
2022-07-04T11:00:00.000000000,258.34,235.12177,22
2022-07-04T12:00:00.000000000,265.23,239.53921,22
2022-07-04T13:00:00.000000000,266.04,239.67089,22
2022-07-04T14:00:00.000000000,235.59,235.86819,22
2022-07-04T15:00:00.000000000,212.3,232.2687,22
2022-07-04T16:00:00.000000000,226.39,228.55513,22
2022-07-04T17:00:00.000000000,247.1,226.05813,22
2022-07-04T18:00:00.000000000,262.24,225.6295,22
2022-07-04T19:00:00.000000000,270.87,226.6941,22
2022-07-04T20:00:00.000000000,277.96,228.48285,22
2022-07-04T21:00:00.000000000,279.52,231.15768,22
2022-07-04T22:00:00.000000000,275.3,234.17244,22
2022-07-04T23:00:00.000000000,270.98,238.00636,22
2022-07-02T00:00:00.000000000,312.21,312.72297,22
2022-07-02T01:00:00.000000000,307.63,313.2439,22
2022-07-02T02:00:00.000000000,316.77,309.75607,22
2022-07-02T03:00:00.000000000,308.66,302.60716,22
2022-07-02T04:00:00.000000000,293.95,292.24071,22
2022-07-02T05:00:00.000000000,282.36,280.97208,22
2022-07-02T06:00:00.000000000,267.25,272.70881,22
2022-07-02T07:00:00.000000000,272.68,269.06766,22
2022-07-02T08:00:00.000000000,277.8,269.61776,22
2022-07-02T09:00:00.000000000,276.49,273.73337,22
2022-07-02T10:00:00.000000000,288.74,281.87901,22
2022-07-02T11:00:00.000000000,298.93,293.84252,22
2022-07-02T12:00:00.000000000,308.74,306.78455,22
2022-07-02T13:00:00.000000000,309.66,318.0566,22
2022-07-02T14:00:00.000000000,289.55,327.38285,22
2022-07-02T15:00:00.000000000,279.62,335.05834,22
2022-07-02T16:00:00.000000000,289.53,338.47287,22
2022-07-02T17:00:00.000000000,307.63,339.07444,22
2022-07-02T18:00:00.000000000,322.43,337.37053,22
2022-07-02T19:00:00.000000000,331.57,334.47995,22
2022-07-02T20:00:00.000000000,331.09,331.57076,22
2022-07-02T21:00:00.000000000,317.3,329.55049,22
2022-07-02T22:00:00.000000000,306.73,329.37082,22
2022-07-02T23:00:00.000000000,291.54,331.3073,22
2022-07-03T00:00:00.000000000,289.01,328.88095,22
2022-07-03T01:00:00.000000000,295.7,319.68079,22
2022-07-03T02:00:00.000000000,306.41,304.60635,22
2022-07-03T03:00:00.000000000,310.67,287.39657,22
2022-07-03T04:00:00.000000000,311.41,271.04243,22
2022-07-03T05:00:00.000000000,310.62,258.54744,22
2022-07-03T06:00:00.000000000,301.36,251.37523,22
2022-07-03T07:00:00.000000000,295.25,248.16096,22
2022-07-03T08:00:00.000000000,293.51,248.71705,22
2022-07-03T09:00:00.000000000,298.44,252.88035,22
2022-07-03T10:00:00.000000000,305.97,260.11965,22
2022-07-03T11:00:00.000000000,304.09,269.3428,22
2022-07-03T12:00:00.000000000,310.2,277.24558,22
2022-07-03T13:00:00.000000000,300.5,281.87563,22
2022-07-03T14:00:00.000000000,274.14,284.36534,22
2022-07-03T15:00:00.000000000,260.53,287.61756,22
2022-07-03T16:00:00.000000000,272.8,290.49208,22
2022-07-03T17:00:00.000000000,283.5,294.75957,22
2022-07-03T18:00:00.000000000,283.51,299.72454,22
2022-07-03T19:00:00.000000000,285.69,302.90239,22
2022-07-03T20:00:00.000000000,282.32,304.00176,22
