datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,322.36,322.52081,26
2022-07-01T01:00:00.000000000,321.77,320.99483,26
2022-07-01T02:00:00.000000000,318.68,316.90077,26
2022-07-01T03:00:00.000000000,314.38,313.45381,26
2022-07-01T04:00:00.000000000,309.06,309.73518,26
2022-07-01T05:00:00.000000000,303.74,305.94594,26
2022-07-01T06:00:00.000000000,299.48,301.15675,26
2022-07-01T07:00:00.000000000,295.92,296.81595,26
2022-07-01T08:00:00.000000000,293.94,294.30552,26
2022-07-01T09:00:00.000000000,292.94,295.89705,26
2022-07-01T10:00:00.000000000,294.06,298.58831,26
2022-07-01T11:00:00.000000000,296.44,299.37221,26
2022-07-01T12:00:00.000000000,295.12,297.20121,26
2022-07-01T13:00:00.000000000,286.29,291.64297,26
2022-07-01T14:00:00.000000000,279.16,287.20714,26
2022-07-01T15:00:00.000000000,279.74,286.70902,26
2022-07-01T16:00:00.000000000,285.12,289.1985,26
2022-07-01T17:00:00.000000000,287.05,293.5696,26
2022-07-01T18:00:00.000000000,291.56,297.84634,26
2022-07-01T19:00:00.000000000,301.79,300.56292,26
2022-07-01T20:00:00.000000000,307.36,304.38737,26
2022-07-01T21:00:00.000000000,311.69,308.95984,26
2022-07-01T22:00:00.000000000,317.6,314.8855,26
2022-07-01T23:00:00.000000000,319.63,321.04323,26
2022-07-02T00:00:00.000000000,322.24,323.48493,26
2022-07-02T01:00:00.000000000,322.88,322.26613,26
2022-07-02T02:00:00.000000000,321.51,318.24127,26
2022-07-02T03:00:00.000000000,317.72,314.47694,26
2022-07-02T04:00:00.000000000,310.19,310.29241,26
2022-07-02T05:00:00.000000000,305.25,306.08035,26
2022-07-02T06:00:00.000000000,301.01,300.99611,26
2022-07-02T07:00:00.000000000,297.82,296.46594,26
2022-07-02T08:00:00.000000000,295.34,293.71414,26
2022-07-02T09:00:00.000000000,293.15,295.02235,26
2022-07-02T10:00:00.000000000,292.2,297.95645,26
2022-07-02T11:00:00.000000000,291.86,299.59718,26
2022-07-02T12:00:00.000000000,288.98,298.79255,26
2022-07-02T13:00:00.000000000,284.5,294.45882,26
2022-07-02T14:00:00.000000000,277.96,290.57917,26
2022-07-02T15:00:00.000000000,281.21,289.67258,26
2022-07-02T16:00:00.000000000,286.26,291.38807,26
2022-07-02T17:00:00.000000000,290.19,295.07678,26
2022-07-02T18:00:00.000000000,296.72,299.01139,26
2022-07-02T19:00:00.000000000,297.02,301.63778,26
2022-07-02T20:00:00.000000000,297.44,305.32098,26
2022-07-02T21:00:00.000000000,302.52,309.52913,26
2022-07-02T22:00:00.000000000,312.71,315.13197,26
2022-07-02T23:00:00.000000000,317.31,321.15521,26
2022-07-03T00:00:00.000000000,319.46,322.22097,26
2022-07-03T01:00:00.000000000,321.0,320.87193,26
2022-07-03T02:00:00.000000000,318.54,316.82318,26
2022-07-03T03:00:00.000000000,314.3,312.97868,26
2022-07-03T04:00:00.000000000,308.83,308.65614,26
2022-07-03T05:00:00.000000000,303.66,304.1675,26
2022-07-03T06:00:00.000000000,300.0,298.90125,26
2022-07-03T07:00:00.000000000,297.19,294.36426,26
2022-07-03T08:00:00.000000000,294.27,291.71771,26
2022-07-03T09:00:00.000000000,290.53,293.05173,26
2022-07-03T10:00:00.000000000,286.87,296.02938,26
2022-07-03T11:00:00.000000000,286.75,297.89816,26
2022-07-03T12:00:00.000000000,285.57,297.86538,26
2022-07-03T13:00:00.000000000,278.86,294.70138,26
2022-07-03T14:00:00.000000000,274.49,291.91662,26
2022-07-03T15:00:00.000000000,277.95,291.51567,26
2022-07-03T16:00:00.000000000,283.94,293.23669,26
2022-07-03T17:00:00.000000000,287.43,296.77691,26
2022-07-03T18:00:00.000000000,295.76,300.67761,26
2022-07-03T19:00:00.000000000,296.6,303.33483,26
2022-07-03T20:00:00.000000000,300.13,306.85333,26
2022-07-03T21:00:00.000000000,311.22,310.46273,26
2022-07-03T22:00:00.000000000,315.0,315.31699,26
2022-07-03T23:00:00.000000000,316.81,320.55538,26
2022-07-04T00:00:00.000000000,318.19,322.45811,26
2022-07-04T01:00:00.000000000,319.91,320.81076,26
2022-07-04T02:00:00.000000000,316.75,316.59789,26
2022-07-04T03:00:00.000000000,313.92,312.58758,26
2022-07-04T04:00:00.000000000,308.98,308.01742,26
2022-07-04T05:00:00.000000000,304.23,303.11697,26
2022-07-04T06:00:00.000000000,300.2,297.55722,26
2022-07-04T07:00:00.000000000,295.68,293.03076,26
2022-07-04T08:00:00.000000000,288.7,290.66897,26
2022-07-04T09:00:00.000000000,284.31,292.25534,26
2022-07-04T10:00:00.000000000,283.07,295.34816,26
2022-07-04T11:00:00.000000000,282.81,297.2218,26
2022-07-04T12:00:00.000000000,277.89,297.47077,26
2022-07-04T13:00:00.000000000,274.51,294.9495,26
2022-07-04T14:00:00.000000000,272.42,292.95534,26
2022-07-04T15:00:00.000000000,274.45,293.00161,26
2022-07-04T16:00:00.000000000,280.58,294.81172,26
2022-07-04T17:00:00.000000000,286.7,298.23242,26
2022-07-04T18:00:00.000000000,289.92,302.03513,26
2022-07-04T19:00:00.000000000,295.77,304.72679,26
2022-07-04T20:00:00.000000000,296.34,308.32525,26
2022-07-04T21:00:00.000000000,299.8,311.82902,26
2022-07-04T22:00:00.000000000,305.32,316.37246,26
2022-07-04T23:00:00.000000000,310.33,321.05252,26
2022-07-02T00:00:00.000000000,322.24,324.47868,26
2022-07-02T01:00:00.000000000,322.88,323.97842,26
2022-07-02T02:00:00.000000000,321.51,320.99449,26
2022-07-02T03:00:00.000000000,317.72,318.79769,26
2022-07-02T04:00:00.000000000,310.19,316.453,26
2022-07-02T05:00:00.000000000,305.25,313.85071,26
2022-07-02T06:00:00.000000000,301.01,309.65793,26
2022-07-02T07:00:00.000000000,297.82,304.90498,26
2022-07-02T08:00:00.000000000,295.34,301.15057,26
2022-07-02T09:00:00.000000000,293.15,301.31619,26
2022-07-02T10:00:00.000000000,292.2,303.04561,26
2022-07-02T11:00:00.000000000,291.86,303.48646,26
2022-07-02T12:00:00.000000000,288.98,301.07027,26
2022-07-02T13:00:00.000000000,284.5,294.89999,26
2022-07-02T14:00:00.000000000,277.96,289.43015,26
2022-07-02T15:00:00.000000000,281.21,288.21079,26
2022-07-02T16:00:00.000000000,286.26,290.52973,26
2022-07-02T17:00:00.000000000,290.19,295.23066,26
2022-07-02T18:00:00.000000000,296.72,299.90482,26
2022-07-02T19:00:00.000000000,297.02,302.68489,26
2022-07-02T20:00:00.000000000,297.44,306.35761,26
2022-07-02T21:00:00.000000000,302.52,310.71851,26
2022-07-02T22:00:00.000000000,312.71,316.58519,26
2022-07-02T23:00:00.000000000,317.31,323.21381,26
2022-07-03T00:00:00.000000000,319.46,324.68555,26
2022-07-03T01:00:00.000000000,321.0,324.763,26
2022-07-03T02:00:00.000000000,318.54,322.54535,26
2022-07-03T03:00:00.000000000,314.3,321.13868,26
2022-07-03T04:00:00.000000000,308.83,319.3661,26
2022-07-03T05:00:00.000000000,303.66,316.80318,26
2022-07-03T06:00:00.000000000,300.0,312.51301,26
2022-07-03T07:00:00.000000000,297.19,307.682,26
2022-07-03T08:00:00.000000000,294.27,303.834,26
2022-07-03T09:00:00.000000000,290.53,303.60782,26
2022-07-03T10:00:00.000000000,286.87,304.71497,26
2022-07-03T11:00:00.000000000,286.75,304.58922,26
2022-07-03T12:00:00.000000000,285.57,302.25716,26
2022-07-03T13:00:00.000000000,278.86,296.80487,26
2022-07-03T14:00:00.000000000,274.49,292.14985,26
2022-07-03T15:00:00.000000000,277.95,291.12075,26
2022-07-03T16:00:00.000000000,283.94,293.20279,26
2022-07-03T17:00:00.000000000,287.43,297.68459,26
2022-07-03T18:00:00.000000000,295.76,302.26518,26
2022-07-03T19:00:00.000000000,296.6,304.84663,26
2022-07-03T20:00:00.000000000,300.13,308.02364,26
2022-07-03T21:00:00.000000000,311.22,311.56193,26
2022-07-03T22:00:00.000000000,315.0,316.76218,26
2022-07-03T23:00:00.000000000,316.81,323.12062,26
2022-07-04T00:00:00.000000000,318.19,325.08518,26
2022-07-04T01:00:00.000000000,319.91,325.29254,26
2022-07-04T02:00:00.000000000,316.75,323.25271,26
2022-07-04T03:00:00.000000000,313.92,322.04678,26
2022-07-04T04:00:00.000000000,308.98,320.45202,26
2022-07-04T05:00:00.000000000,304.23,317.98522,26
2022-07-04T06:00:00.000000000,300.2,313.72791,26
2022-07-04T07:00:00.000000000,295.68,308.89121,26
2022-07-04T08:00:00.000000000,288.7,305.01205,26
2022-07-04T09:00:00.000000000,284.31,304.70729,26
2022-07-04T10:00:00.000000000,283.07,305.70603,26
2022-07-04T11:00:00.000000000,282.81,305.46496,26
2022-07-04T12:00:00.000000000,277.89,303.00682,26
2022-07-04T13:00:00.000000000,274.51,297.42482,26
2022-07-04T14:00:00.000000000,272.42,292.64649,26
2022-07-04T15:00:00.000000000,274.45,291.46919,26
2022-07-04T16:00:00.000000000,280.58,293.43898,26
2022-07-04T17:00:00.000000000,286.7,297.84225,26
2022-07-04T18:00:00.000000000,289.92,302.35482,26
2022-07-04T19:00:00.000000000,295.77,304.85666,26
2022-07-04T20:00:00.000000000,296.34,307.95853,26
2022-07-04T21:00:00.000000000,299.8,311.45259,26
2022-07-04T22:00:00.000000000,305.32,316.6563,26
2022-07-04T23:00:00.000000000,310.33,323.08615,26
2022-07-05T00:00:00.000000000,321.1,326.82898,26
2022-07-05T01:00:00.000000000,324.53,327.20234,26
2022-07-05T02:00:00.000000000,322.09,325.26689,26
2022-07-05T03:00:00.000000000,319.83,324.05597,26
2022-07-05T04:00:00.000000000,315.18,322.41778,26
2022-07-05T05:00:00.000000000,308.16,319.99707,26
2022-07-05T06:00:00.000000000,304.04,315.70934,26
2022-07-05T07:00:00.000000000,300.49,310.75656,26
2022-07-05T08:00:00.000000000,296.98,306.71615,26
2022-07-05T09:00:00.000000000,294.31,306.33247,26
2022-07-05T10:00:00.000000000,295.86,307.45334,26
2022-07-05T11:00:00.000000000,299.29,307.44887,26
2022-07-05T12:00:00.000000000,297.63,304.97482,26
2022-07-05T13:00:00.000000000,288.85,298.973,26
2022-07-05T14:00:00.000000000,282.0,293.53812,26
2022-07-05T15:00:00.000000000,284.75,291.75114,26
2022-07-05T16:00:00.000000000,288.14,293.32439,26
2022-07-05T17:00:00.000000000,290.13,297.42812,26
2022-07-05T18:00:00.000000000,292.06,301.73139,26
2022-07-05T19:00:00.000000000,295.47,304.18193,26
2022-07-05T20:00:00.000000000,298.45,307.44272,26
2022-07-05T21:00:00.000000000,303.09,311.27958,26
2022-07-05T22:00:00.000000000,309.14,316.8505,26
2022-07-05T23:00:00.000000000,317.07,323.64384,26
2022-07-03T00:00:00.000000000,319.46,320.21352,26
2022-07-03T01:00:00.000000000,321.0,320.88995,26
2022-07-03T02:00:00.000000000,318.54,318.75267,26
2022-07-03T03:00:00.000000000,314.3,316.83629,26
2022-07-03T04:00:00.000000000,308.83,314.25133,26
2022-07-03T05:00:00.000000000,303.66,311.2199,26
2022-07-03T06:00:00.000000000,300.0,306.77719,26
2022-07-03T07:00:00.000000000,297.19,301.90575,26
2022-07-03T08:00:00.000000000,294.27,297.71153,26
2022-07-03T09:00:00.000000000,290.53,296.98032,26
2022-07-03T10:00:00.000000000,286.87,297.69757,26
2022-07-03T11:00:00.000000000,286.75,297.65905,26
2022-07-03T12:00:00.000000000,285.57,295.49925,26
2022-07-03T13:00:00.000000000,278.86,290.05021,26
2022-07-03T14:00:00.000000000,274.49,285.38966,26
2022-07-03T15:00:00.000000000,277.95,284.6591,26
2022-07-03T16:00:00.000000000,283.94,287.2548,26
2022-07-03T17:00:00.000000000,287.43,292.30999,26
2022-07-03T18:00:00.000000000,295.76,297.2819,26
2022-07-03T19:00:00.000000000,296.6,300.08178,26
2022-07-03T20:00:00.000000000,300.13,303.20489,26
2022-07-03T21:00:00.000000000,311.22,306.69121,26
2022-07-03T22:00:00.000000000,315.0,311.99393,26
2022-07-03T23:00:00.000000000,316.81,318.74618,26
2022-07-04T00:00:00.000000000,318.19,321.48425,26
2022-07-04T01:00:00.000000000,319.91,323.06754,26
2022-07-04T02:00:00.000000000,316.75,321.59926,26
2022-07-04T03:00:00.000000000,313.92,320.19442,26
2022-07-04T04:00:00.000000000,308.98,318.09384,26
2022-07-04T05:00:00.000000000,304.23,315.53528,26
2022-07-04T06:00:00.000000000,300.2,311.20772,26
2022-07-04T07:00:00.000000000,295.68,305.85312,26
2022-07-04T08:00:00.000000000,288.7,300.69802,26
2022-07-04T09:00:00.000000000,284.31,299.07526,26
2022-07-04T10:00:00.000000000,283.07,299.5858,26
2022-07-04T11:00:00.000000000,282.81,300.06142,26
2022-07-04T12:00:00.000000000,277.89,298.42629,26
2022-07-04T13:00:00.000000000,274.51,292.80187,26
2022-07-04T14:00:00.000000000,272.42,287.21695,26
2022-07-04T15:00:00.000000000,274.45,285.48081,26
2022-07-04T16:00:00.000000000,280.58,287.52228,26
2022-07-04T17:00:00.000000000,286.7,292.54361,26
2022-07-04T18:00:00.000000000,289.92,297.63947,26
2022-07-04T19:00:00.000000000,295.77,300.34095,26
2022-07-04T20:00:00.000000000,296.34,303.15162,26
2022-07-04T21:00:00.000000000,299.8,306.39532,26
2022-07-04T22:00:00.000000000,305.32,311.86076,26
2022-07-04T23:00:00.000000000,310.33,319.34829,26
2022-07-05T00:00:00.000000000,321.1,323.54243,26
2022-07-05T01:00:00.000000000,324.53,325.28852,26
2022-07-05T02:00:00.000000000,322.09,323.96478,26
2022-07-05T03:00:00.000000000,319.83,322.80636,26
2022-07-05T04:00:00.000000000,315.18,321.03126,26
2022-07-05T05:00:00.000000000,308.16,318.72991,26
2022-07-05T06:00:00.000000000,304.04,314.44338,26
2022-07-05T07:00:00.000000000,300.49,308.88191,26
2022-07-05T08:00:00.000000000,296.98,303.46696,26
2022-07-05T09:00:00.000000000,294.31,301.70971,26
2022-07-05T10:00:00.000000000,295.86,302.29223,26
