datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,277.53,287.7032,21
2022-07-01T01:00:00.000000000,320.31,322.85234,21
2022-07-01T02:00:00.000000000,354.71,349.6965,21
2022-07-01T03:00:00.000000000,395.89,358.50527,21
2022-07-01T04:00:00.000000000,413.46,364.98599,21
2022-07-01T05:00:00.000000000,435.14,386.13614,21
2022-07-01T06:00:00.000000000,425.62,404.84922,21
2022-07-01T07:00:00.000000000,414.02,415.16062,21
2022-07-01T08:00:00.000000000,416.77,423.04778,21
2022-07-01T09:00:00.000000000,422.62,430.32642,21
2022-07-01T10:00:00.000000000,436.6,425.13313,21
2022-07-01T11:00:00.000000000,460.08,428.96804,21
2022-07-01T12:00:00.000000000,466.48,423.774,21
2022-07-01T13:00:00.000000000,448.8,395.70639,21
2022-07-01T14:00:00.000000000,419.95,357.07229,21
2022-07-01T15:00:00.000000000,332.02,313.05433,21
2022-07-01T16:00:00.000000000,269.53,265.51654,21
2022-07-01T17:00:00.000000000,249.07,222.40157,21
2022-07-01T18:00:00.000000000,250.22,206.51124,21
2022-07-01T19:00:00.000000000,263.47,208.50901,21
2022-07-01T20:00:00.000000000,265.89,218.33443,21
2022-07-01T21:00:00.000000000,271.67,233.20071,21
2022-07-01T22:00:00.000000000,247.48,249.54203,21
2022-07-01T23:00:00.000000000,251.99,265.59643,21
2022-07-02T00:00:00.000000000,261.22,275.97829,21
2022-07-02T01:00:00.000000000,296.82,315.24867,21
2022-07-02T02:00:00.000000000,352.22,345.2568,21
2022-07-02T03:00:00.000000000,394.16,354.26788,21
2022-07-02T04:00:00.000000000,433.78,361.05753,21
2022-07-02T05:00:00.000000000,414.86,385.20525,21
2022-07-02T06:00:00.000000000,447.88,407.89081,21
2022-07-02T07:00:00.000000000,437.97,420.67785,21
2022-07-02T08:00:00.000000000,443.85,429.32131,21
2022-07-02T09:00:00.000000000,454.55,435.90109,21
2022-07-02T10:00:00.000000000,469.24,428.6769,21
2022-07-02T11:00:00.000000000,481.57,431.90617,21
2022-07-02T12:00:00.000000000,483.83,424.87644,21
2022-07-02T13:00:00.000000000,498.62,389.9061,21
2022-07-02T14:00:00.000000000,439.69,342.63918,21
2022-07-02T15:00:00.000000000,329.57,291.21136,21
2022-07-02T16:00:00.000000000,277.22,238.96369,21
2022-07-02T17:00:00.000000000,257.72,193.11084,21
2022-07-02T18:00:00.000000000,242.95,176.97706,21
2022-07-02T19:00:00.000000000,233.8,180.99053,21
2022-07-02T20:00:00.000000000,241.92,193.85964,21
2022-07-02T21:00:00.000000000,243.27,212.18454,21
2022-07-02T22:00:00.000000000,233.64,232.22512,21
2022-07-02T23:00:00.000000000,235.91,250.48516,21
2022-07-03T00:00:00.000000000,248.16,275.57224,21
2022-07-03T01:00:00.000000000,280.32,314.85482,21
2022-07-03T02:00:00.000000000,304.56,344.97456,21
2022-07-03T03:00:00.000000000,369.76,354.04103,21
2022-07-03T04:00:00.000000000,393.76,360.94551,21
2022-07-03T05:00:00.000000000,414.18,385.52006,21
2022-07-03T06:00:00.000000000,402.06,408.04974,21
2022-07-03T07:00:00.000000000,442.36,420.78073,21
2022-07-03T08:00:00.000000000,481.95,430.53702,21
2022-07-03T09:00:00.000000000,481.93,438.5297,21
