datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,415.89,422.33106,12
2022-07-01T01:00:00.000000000,431.44,424.64426,12
2022-07-01T02:00:00.000000000,441.47,424.99651,12
2022-07-01T03:00:00.000000000,440.04,422.15535,12
2022-07-01T04:00:00.000000000,433.9,416.97286,12
2022-07-01T05:00:00.000000000,427.0,406.85327,12
2022-07-01T06:00:00.000000000,412.02,396.0722,12
2022-07-01T07:00:00.000000000,403.06,386.68668,12
2022-07-01T08:00:00.000000000,405.14,380.14518,12
2022-07-01T09:00:00.000000000,406.82,378.31236,12
2022-07-01T10:00:00.000000000,406.32,381.28273,12
2022-07-01T11:00:00.000000000,408.56,387.62026,12
2022-07-01T12:00:00.000000000,423.78,398.08868,12
2022-07-01T13:00:00.000000000,444.21,407.48743,12
2022-07-01T14:00:00.000000000,462.63,417.25494,12
2022-07-01T15:00:00.000000000,463.7,427.11109,12
2022-07-01T16:00:00.000000000,460.46,432.96224,12
2022-07-01T17:00:00.000000000,455.91,435.20188,12
2022-07-01T18:00:00.000000000,455.62,435.75235,12
2022-07-01T19:00:00.000000000,454.54,433.42398,12
2022-07-01T20:00:00.000000000,453.86,432.77233,12
2022-07-01T21:00:00.000000000,454.73,431.65437,12
2022-07-01T22:00:00.000000000,453.59,430.9933,12
2022-07-01T23:00:00.000000000,453.05,431.98206,12
2022-07-02T00:00:00.000000000,458.15,441.79562,12
2022-07-02T01:00:00.000000000,468.3,443.38707,12
2022-07-02T02:00:00.000000000,473.82,442.49485,12
2022-07-02T03:00:00.000000000,475.26,438.47621,12
2022-07-02T04:00:00.000000000,476.26,431.99043,12
2022-07-02T05:00:00.000000000,474.65,420.56056,12
2022-07-02T06:00:00.000000000,460.55,408.66165,12
2022-07-02T07:00:00.000000000,439.15,398.5199,12
2022-07-02T08:00:00.000000000,426.92,391.25178,12
2022-07-02T09:00:00.000000000,424.79,388.85779,12
2022-07-02T10:00:00.000000000,425.55,391.22122,12
2022-07-02T11:00:00.000000000,430.46,396.92361,12
2022-07-02T12:00:00.000000000,433.04,406.86209,12
2022-07-02T13:00:00.000000000,440.24,415.30493,12
2022-07-02T14:00:00.000000000,453.44,424.19089,12
2022-07-02T15:00:00.000000000,455.06,433.03458,12
2022-07-02T16:00:00.000000000,447.27,438.09765,12
2022-07-02T17:00:00.000000000,443.63,439.51179,12
2022-07-02T18:00:00.000000000,442.22,439.24676,12
2022-07-02T19:00:00.000000000,437.49,436.40602,12
2022-07-02T20:00:00.000000000,438.59,436.0773,12
2022-07-02T21:00:00.000000000,441.83,435.26104,12
2022-07-02T22:00:00.000000000,446.4,434.95462,12
2022-07-02T23:00:00.000000000,450.08,436.26248,12
2022-07-03T00:00:00.000000000,453.39,436.4612,12
2022-07-03T01:00:00.000000000,460.25,437.7077,12
2022-07-03T02:00:00.000000000,458.58,436.76485,12
2022-07-03T03:00:00.000000000,445.89,432.75122,12
2022-07-03T04:00:00.000000000,428.22,425.80703,12
2022-07-03T05:00:00.000000000,419.45,413.79008,12
2022-07-03T06:00:00.000000000,411.79,400.896,12
2022-07-03T07:00:00.000000000,408.03,389.29599,12
2022-07-03T08:00:00.000000000,410.09,380.43322,12
2022-07-03T09:00:00.000000000,406.57,376.24041,12
2022-07-03T10:00:00.000000000,402.94,376.49033,12
2022-07-03T11:00:00.000000000,406.63,380.50725,12
2022-07-03T12:00:00.000000000,418.11,389.405,12
2022-07-03T13:00:00.000000000,426.8,397.85974,12
2022-07-03T14:00:00.000000000,436.3,407.0932,12
2022-07-03T15:00:00.000000000,440.82,417.17207,12
2022-07-03T16:00:00.000000000,443.71,423.44772,12
2022-07-03T17:00:00.000000000,444.83,426.02057,12
2022-07-03T18:00:00.000000000,440.64,427.03086,12
2022-07-03T19:00:00.000000000,435.75,425.34904,12
2022-07-03T20:00:00.000000000,432.85,425.28013,12
2022-07-03T21:00:00.000000000,426.65,424.70223,12
2022-07-03T22:00:00.000000000,425.13,424.64419,12
2022-07-03T23:00:00.000000000,427.88,425.91918,12
2022-07-04T00:00:00.000000000,431.68,430.80864,12
2022-07-04T01:00:00.000000000,437.41,430.88413,12
2022-07-04T02:00:00.000000000,442.07,428.29269,12
2022-07-04T03:00:00.000000000,425.68,422.58071,12
2022-07-04T04:00:00.000000000,400.15,414.33506,12
2022-07-04T05:00:00.000000000,383.75,401.84122,12
2022-07-04T06:00:00.000000000,371.92,389.5977,12
2022-07-04T07:00:00.000000000,367.23,379.79595,12
2022-07-04T08:00:00.000000000,366.02,373.21041,12
2022-07-04T09:00:00.000000000,364.97,371.63275,12
2022-07-04T10:00:00.000000000,360.5,374.51184,12
2022-07-04T11:00:00.000000000,356.04,380.613,12
2022-07-04T12:00:00.000000000,373.79,390.72895,12
2022-07-04T13:00:00.000000000,399.29,399.71376,12
2022-07-04T14:00:00.000000000,418.03,408.4505,12
2022-07-04T15:00:00.000000000,421.62,417.16484,12
2022-07-04T16:00:00.000000000,420.82,421.67394,12
2022-07-04T17:00:00.000000000,421.11,422.73275,12
2022-07-04T18:00:00.000000000,420.76,422.68392,12
2022-07-04T19:00:00.000000000,420.37,420.75871,12
2022-07-04T20:00:00.000000000,421.73,420.76625,12
2022-07-04T21:00:00.000000000,423.89,420.65684,12
2022-07-04T22:00:00.000000000,428.84,420.94138,12
2022-07-04T23:00:00.000000000,436.19,422.27751,12
2022-07-02T00:00:00.000000000,458.15,448.61485,12
2022-07-02T01:00:00.000000000,468.3,450.62311,12
2022-07-02T02:00:00.000000000,473.82,451.28278,12
2022-07-02T03:00:00.000000000,475.26,450.63226,12
2022-07-02T04:00:00.000000000,476.26,450.0779,12
2022-07-02T05:00:00.000000000,474.65,445.72441,12
2022-07-02T06:00:00.000000000,460.55,441.1518,12
2022-07-02T07:00:00.000000000,439.15,437.16917,12
2022-07-02T08:00:00.000000000,426.92,434.11729,12
2022-07-02T09:00:00.000000000,424.79,433.44009,12
2022-07-02T10:00:00.000000000,425.55,434.52283,12
2022-07-02T11:00:00.000000000,430.46,435.8221,12
2022-07-02T12:00:00.000000000,433.04,438.9151,12
2022-07-02T13:00:00.000000000,440.24,439.14939,12
2022-07-02T14:00:00.000000000,453.44,441.00187,12
2022-07-02T15:00:00.000000000,455.06,444.25664,12
2022-07-02T16:00:00.000000000,447.27,447.46986,12
2022-07-02T17:00:00.000000000,443.63,449.90268,12
2022-07-02T18:00:00.000000000,442.22,451.03718,12
2022-07-02T19:00:00.000000000,437.49,450.43308,12
2022-07-02T20:00:00.000000000,438.59,452.71843,12
2022-07-02T21:00:00.000000000,441.83,452.76981,12
2022-07-02T22:00:00.000000000,446.4,452.1168,12
2022-07-02T23:00:00.000000000,450.08,452.02252,12
2022-07-03T00:00:00.000000000,453.39,445.81295,12
2022-07-03T01:00:00.000000000,460.25,446.62892,12
2022-07-03T02:00:00.000000000,458.58,445.92458,12
2022-07-03T03:00:00.000000000,445.89,444.20917,12
2022-07-03T04:00:00.000000000,428.22,442.48332,12
2022-07-03T05:00:00.000000000,419.45,437.47168,12
2022-07-03T06:00:00.000000000,411.79,432.61037,12
2022-07-03T07:00:00.000000000,408.03,428.45369,12
2022-07-03T08:00:00.000000000,410.09,424.92951,12
2022-07-03T09:00:00.000000000,406.57,423.6289,12
2022-07-03T10:00:00.000000000,402.94,423.59499,12
2022-07-03T11:00:00.000000000,406.63,423.92921,12
2022-07-03T12:00:00.000000000,418.11,426.20136,12
2022-07-03T13:00:00.000000000,426.8,426.06509,12
2022-07-03T14:00:00.000000000,436.3,427.28219,12
2022-07-03T15:00:00.000000000,440.82,429.95247,12
2022-07-03T16:00:00.000000000,443.71,432.44574,12
2022-07-03T17:00:00.000000000,444.83,434.30434,12
2022-07-03T18:00:00.000000000,440.64,435.40177,12
2022-07-03T19:00:00.000000000,435.75,435.38961,12
2022-07-03T20:00:00.000000000,432.85,438.00874,12
2022-07-03T21:00:00.000000000,426.65,438.79234,12
2022-07-03T22:00:00.000000000,425.13,438.89785,12
2022-07-03T23:00:00.000000000,427.88,439.04525,12
2022-07-04T00:00:00.000000000,431.68,441.15006,12
2022-07-04T01:00:00.000000000,437.41,439.90193,12
2022-07-04T02:00:00.000000000,442.07,436.76622,12
2022-07-04T03:00:00.000000000,425.68,432.71038,12
2022-07-04T04:00:00.000000000,400.15,428.93689,12
2022-07-04T05:00:00.000000000,383.75,422.77893,12
2022-07-04T06:00:00.000000000,371.92,417.92389,12
2022-07-04T07:00:00.000000000,367.23,414.73091,12
2022-07-04T08:00:00.000000000,366.02,412.66781,12
2022-07-04T09:00:00.000000000,364.97,413.39966,12
2022-07-04T10:00:00.000000000,360.5,415.48233,12
2022-07-04T11:00:00.000000000,356.04,417.78139,12
2022-07-04T12:00:00.000000000,373.79,421.36473,12
2022-07-04T13:00:00.000000000,399.29,422.0734,12
2022-07-04T14:00:00.000000000,418.03,423.07629,12
2022-07-04T15:00:00.000000000,421.62,424.73481,12
2022-07-04T16:00:00.000000000,420.82,425.59789,12
2022-07-04T17:00:00.000000000,421.11,425.90793,12
2022-07-04T18:00:00.000000000,420.76,426.15309,12
2022-07-04T19:00:00.000000000,420.37,426.16623,12
2022-07-04T20:00:00.000000000,421.73,428.75869,12
2022-07-04T21:00:00.000000000,423.89,429.7942,12
2022-07-04T22:00:00.000000000,428.84,429.87551,12
2022-07-04T23:00:00.000000000,436.19,429.51659,12
2022-07-05T00:00:00.000000000,441.31,436.30725,12
2022-07-05T01:00:00.000000000,448.18,437.20083,12
2022-07-05T02:00:00.000000000,458.58,436.48141,12
2022-07-05T03:00:00.000000000,453.46,434.45682,12
2022-07-05T04:00:00.000000000,442.82,432.50709,12
2022-07-05T05:00:00.000000000,432.28,427.50945,12
2022-07-05T06:00:00.000000000,422.11,423.00529,12
2022-07-05T07:00:00.000000000,413.83,419.58248,12
2022-07-05T08:00:00.000000000,409.65,417.27597,12
2022-07-05T09:00:00.000000000,410.15,417.59931,12
2022-07-05T10:00:00.000000000,412.01,419.50375,12
2022-07-05T11:00:00.000000000,410.16,421.59158,12
2022-07-05T12:00:00.000000000,410.21,425.10837,12
2022-07-05T13:00:00.000000000,418.71,425.93353,12
2022-07-05T14:00:00.000000000,434.59,427.56385,12
2022-07-05T15:00:00.000000000,445.44,430.18337,12
2022-07-05T16:00:00.000000000,448.07,432.18056,12
2022-07-05T17:00:00.000000000,448.27,433.50978,12
2022-07-05T18:00:00.000000000,443.03,434.24814,12
2022-07-05T19:00:00.000000000,442.7,434.03429,12
2022-07-05T20:00:00.000000000,436.65,436.36378,12
2022-07-05T21:00:00.000000000,432.27,437.04684,12
2022-07-05T22:00:00.000000000,431.32,437.00828,12
2022-07-05T23:00:00.000000000,428.33,437.08828,12
2022-07-03T00:00:00.000000000,453.39,444.11279,12
2022-07-03T01:00:00.000000000,460.25,445.55548,12
2022-07-03T02:00:00.000000000,458.58,445.72135,12
2022-07-03T03:00:00.000000000,445.89,444.95486,12
2022-07-03T04:00:00.000000000,428.22,444.28797,12
2022-07-03T05:00:00.000000000,419.45,440.21129,12
2022-07-03T06:00:00.000000000,411.79,435.99779,12
2022-07-03T07:00:00.000000000,408.03,432.10512,12
2022-07-03T08:00:00.000000000,410.09,428.61944,12
2022-07-03T09:00:00.000000000,406.57,427.06621,12
2022-07-03T10:00:00.000000000,402.94,426.63092,12
2022-07-03T11:00:00.000000000,406.63,426.39474,12
2022-07-03T12:00:00.000000000,418.11,428.0892,12
2022-07-03T13:00:00.000000000,426.8,427.46543,12
2022-07-03T14:00:00.000000000,436.3,428.52346,12
2022-07-03T15:00:00.000000000,440.82,431.32107,12
2022-07-03T16:00:00.000000000,443.71,434.26263,12
2022-07-03T17:00:00.000000000,444.83,436.73542,12
2022-07-03T18:00:00.000000000,440.64,438.26657,12
2022-07-03T19:00:00.000000000,435.75,438.40246,12
2022-07-03T20:00:00.000000000,432.85,441.05362,12
2022-07-03T21:00:00.000000000,426.65,441.6805,12
2022-07-03T22:00:00.000000000,425.13,441.58906,12
