datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,309.67,331.51993,25
2022-07-01T01:00:00.000000000,315.26,355.56391,25
2022-07-01T02:00:00.000000000,346.98,381.7634,25
2022-07-01T03:00:00.000000000,403.23,403.38694,25
2022-07-01T04:00:00.000000000,422.59,415.86357,25
2022-07-01T05:00:00.000000000,425.7,419.68695,25
2022-07-01T06:00:00.000000000,428.05,419.08838,25
2022-07-01T07:00:00.000000000,427.28,420.19668,25
2022-07-01T08:00:00.000000000,424.25,422.65685,25
2022-07-01T09:00:00.000000000,421.93,423.72603,25
2022-07-01T10:00:00.000000000,423.81,422.70208,25
2022-07-01T11:00:00.000000000,426.51,425.32089,25
2022-07-01T12:00:00.000000000,429.06,432.16433,25
2022-07-01T13:00:00.000000000,429.66,425.92008,25
2022-07-01T14:00:00.000000000,392.17,394.94924,25
2022-07-01T15:00:00.000000000,342.81,348.52056,25
2022-07-01T16:00:00.000000000,320.21,313.54867,25
2022-07-01T17:00:00.000000000,299.16,305.12847,25
2022-07-01T18:00:00.000000000,294.87,309.20624,25
2022-07-01T19:00:00.000000000,287.95,311.45878,25
2022-07-01T20:00:00.000000000,291.46,311.81592,25
2022-07-01T21:00:00.000000000,289.79,312.82829,25
2022-07-01T22:00:00.000000000,294.53,313.75436,25
2022-07-01T23:00:00.000000000,296.42,319.40459,25
2022-07-02T00:00:00.000000000,298.83,336.47043,25
2022-07-02T01:00:00.000000000,309.93,357.11334,25
2022-07-02T02:00:00.000000000,346.01,380.35794,25
2022-07-02T03:00:00.000000000,408.96,401.28097,25
2022-07-02T04:00:00.000000000,429.59,414.997,25
2022-07-02T05:00:00.000000000,434.21,420.42523,25
2022-07-02T06:00:00.000000000,428.15,420.14204,25
2022-07-02T07:00:00.000000000,423.6,420.63843,25
2022-07-02T08:00:00.000000000,422.32,422.75114,25
2022-07-02T09:00:00.000000000,423.12,423.25725,25
2022-07-02T10:00:00.000000000,425.03,421.17208,25
2022-07-02T11:00:00.000000000,426.57,422.45721,25
2022-07-02T12:00:00.000000000,429.11,429.56797,25
2022-07-02T13:00:00.000000000,433.19,426.41635,25
2022-07-02T14:00:00.000000000,399.11,399.78204,25
2022-07-02T15:00:00.000000000,343.87,356.58252,25
2022-07-02T16:00:00.000000000,311.86,323.00488,25
2022-07-02T17:00:00.000000000,283.43,314.54139,25
2022-07-02T18:00:00.000000000,268.86,318.60325,25
2022-07-02T19:00:00.000000000,249.89,320.80704,25
2022-07-02T20:00:00.000000000,240.03,320.36629,25
2022-07-02T21:00:00.000000000,245.47,320.33256,25
2022-07-02T22:00:00.000000000,251.23,320.83855,25
2022-07-02T23:00:00.000000000,252.2,325.94497,25
2022-07-03T00:00:00.000000000,270.43,338.27093,25
2022-07-03T01:00:00.000000000,289.29,358.35993,25
2022-07-03T02:00:00.000000000,326.6,380.52731,25
2022-07-03T03:00:00.000000000,389.82,399.92648,25
2022-07-03T04:00:00.000000000,407.83,412.40632,25
2022-07-03T05:00:00.000000000,414.27,417.40892,25
2022-07-03T06:00:00.000000000,417.87,417.40008,25
2022-07-03T07:00:00.000000000,424.62,418.19905,25
2022-07-03T08:00:00.000000000,420.77,420.27347,25
2022-07-03T09:00:00.000000000,420.57,420.71563,25
2022-07-03T10:00:00.000000000,420.79,418.78655,25
2022-07-03T11:00:00.000000000,425.79,420.35868,25
2022-07-03T12:00:00.000000000,428.18,427.31663,25
2022-07-03T13:00:00.000000000,430.91,423.94306,25
2022-07-03T14:00:00.000000000,396.41,398.35404,25
2022-07-03T15:00:00.000000000,322.42,357.45101,25
2022-07-03T16:00:00.000000000,292.42,325.39547,25
2022-07-03T17:00:00.000000000,280.72,316.61074,25
2022-07-03T18:00:00.000000000,274.39,319.95327,25
2022-07-03T19:00:00.000000000,257.32,322.2017,25
2022-07-03T20:00:00.000000000,236.96,322.22139,25
2022-07-03T21:00:00.000000000,244.57,322.30524,25
2022-07-03T22:00:00.000000000,252.6,322.67646,25
2022-07-03T23:00:00.000000000,259.73,327.69991,25
2022-07-04T00:00:00.000000000,267.06,337.80695,25
2022-07-04T01:00:00.000000000,275.06,358.67289,25
2022-07-04T02:00:00.000000000,318.41,382.1078,25
2022-07-04T03:00:00.000000000,392.69,400.8371,25
2022-07-04T04:00:00.000000000,416.45,410.78291,25
2022-07-04T05:00:00.000000000,424.5,413.8926,25
2022-07-04T06:00:00.000000000,419.62,414.34919,25
2022-07-04T07:00:00.000000000,413.06,416.5419,25
2022-07-04T08:00:00.000000000,412.72,419.16284,25
2022-07-04T09:00:00.000000000,413.26,419.5024,25
2022-07-04T10:00:00.000000000,418.88,417.81214,25
2022-07-04T11:00:00.000000000,418.38,420.40098,25
2022-07-04T12:00:00.000000000,418.68,427.50247,25
2022-07-04T13:00:00.000000000,420.62,422.38373,25
2022-07-04T14:00:00.000000000,389.16,395.42894,25
2022-07-04T15:00:00.000000000,322.13,355.69784,25
2022-07-04T16:00:00.000000000,292.4,325.61113,25
2022-07-04T17:00:00.000000000,284.62,317.26953,25
2022-07-04T18:00:00.000000000,269.36,319.9718,25
2022-07-04T19:00:00.000000000,260.17,322.32974,25
2022-07-04T20:00:00.000000000,253.68,323.6195,25
2022-07-04T21:00:00.000000000,253.55,324.64029,25
2022-07-04T22:00:00.000000000,255.91,324.53972,25
2022-07-04T23:00:00.000000000,258.14,328.01554,25
2022-07-02T00:00:00.000000000,298.83,323.75273,25
2022-07-02T01:00:00.000000000,309.93,349.23611,25
2022-07-02T02:00:00.000000000,346.01,377.39086,25
2022-07-02T03:00:00.000000000,408.96,400.44318,25
2022-07-02T04:00:00.000000000,429.59,413.0814,25
2022-07-02T05:00:00.000000000,434.21,416.41135,25
