datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,243.55,239.95514,18
2022-07-01T01:00:00.000000000,238.35,235.78093,18
2022-07-01T02:00:00.000000000,231.39,233.05733,18
2022-07-01T03:00:00.000000000,220.25,229.6027,18
2022-07-01T04:00:00.000000000,216.69,223.31664,18
2022-07-01T05:00:00.000000000,210.4,218.5991,18
2022-07-01T06:00:00.000000000,202.67,214.6395,18
2022-07-01T07:00:00.000000000,199.76,210.52614,18
2022-07-01T08:00:00.000000000,196.5,206.80242,18
2022-07-01T09:00:00.000000000,194.58,206.82039,18
2022-07-01T10:00:00.000000000,199.77,207.70245,18
2022-07-01T11:00:00.000000000,200.71,211.52178,18
2022-07-01T12:00:00.000000000,208.14,216.01809,18
2022-07-01T13:00:00.000000000,215.1,218.9475,18
2022-07-01T14:00:00.000000000,225.55,223.79675,18
2022-07-01T15:00:00.000000000,227.89,228.98999,18
2022-07-01T16:00:00.000000000,238.56,233.31895,18
2022-07-01T17:00:00.000000000,244.41,233.69349,18
2022-07-01T18:00:00.000000000,240.53,236.62114,18
2022-07-01T19:00:00.000000000,241.07,233.75262,18
2022-07-01T20:00:00.000000000,243.63,236.47072,18
2022-07-01T21:00:00.000000000,242.39,237.77988,18
2022-07-01T22:00:00.000000000,241.07,239.86832,18
2022-07-01T23:00:00.000000000,238.93,238.29517,18
2022-07-02T00:00:00.000000000,242.37,235.53424,18
2022-07-02T01:00:00.000000000,240.44,232.08006,18
2022-07-02T02:00:00.000000000,240.6,229.97571,18
2022-07-02T03:00:00.000000000,230.61,227.63689,18
2022-07-02T04:00:00.000000000,230.09,222.68879,18
2022-07-02T05:00:00.000000000,219.79,219.19386,18
2022-07-02T06:00:00.000000000,217.07,216.3797,18
2022-07-02T07:00:00.000000000,220.88,213.55265,18
2022-07-02T08:00:00.000000000,216.5,210.74992,18
2022-07-02T09:00:00.000000000,217.97,211.08407,18
2022-07-02T10:00:00.000000000,216.92,211.36996,18
2022-07-02T11:00:00.000000000,221.82,214.31358,18
2022-07-02T12:00:00.000000000,214.13,217.64668,18
2022-07-02T13:00:00.000000000,220.61,219.56458,18
2022-07-02T14:00:00.000000000,224.9,222.77139,18
2022-07-02T15:00:00.000000000,229.48,226.3095,18
2022-07-02T16:00:00.000000000,229.1,229.07506,18
2022-07-02T17:00:00.000000000,236.21,228.6863,18
2022-07-02T18:00:00.000000000,239.77,230.82007,18
2022-07-02T19:00:00.000000000,237.55,227.00919,18
2022-07-02T20:00:00.000000000,235.28,229.26268,18
2022-07-02T21:00:00.000000000,234.58,230.4033,18
2022-07-02T22:00:00.000000000,249.02,232.27222,18
2022-07-02T23:00:00.000000000,252.26,230.7128,18
2022-07-03T00:00:00.000000000,253.22,232.66378,18
2022-07-03T01:00:00.000000000,247.57,227.87358,18
2022-07-03T02:00:00.000000000,235.51,224.56087,18
2022-07-03T03:00:00.000000000,226.69,221.34342,18
2022-07-03T04:00:00.000000000,224.37,216.39095,18
2022-07-03T05:00:00.000000000,222.27,213.18767,18
2022-07-03T06:00:00.000000000,213.87,211.01309,18
2022-07-03T07:00:00.000000000,210.38,209.15123,18
2022-07-03T08:00:00.000000000,205.5,207.58217,18
2022-07-03T09:00:00.000000000,199.46,209.01899,18
2022-07-03T10:00:00.000000000,198.91,210.95098,18
2022-07-03T11:00:00.000000000,196.3,214.82408,18
2022-07-03T12:00:00.000000000,198.41,218.96076,18
2022-07-03T13:00:00.000000000,202.66,221.32399,18
2022-07-03T14:00:00.000000000,209.23,224.71684,18
2022-07-03T15:00:00.000000000,205.79,228.37664,18
2022-07-03T16:00:00.000000000,203.38,230.87536,18
2022-07-03T17:00:00.000000000,205.4,230.31554,18
2022-07-03T18:00:00.000000000,209.39,231.76476,18
2022-07-03T19:00:00.000000000,215.08,227.80621,18
2022-07-03T20:00:00.000000000,223.08,229.68809,18
2022-07-03T21:00:00.000000000,225.38,229.81807,18
2022-07-03T22:00:00.000000000,226.01,231.15318,18
2022-07-03T23:00:00.000000000,225.3,228.50872,18
2022-07-04T00:00:00.000000000,223.63,235.25923,18
2022-07-04T01:00:00.000000000,223.34,230.27751,18
2022-07-04T02:00:00.000000000,221.98,226.82908,18
2022-07-04T03:00:00.000000000,222.28,223.47535,18
2022-07-04T04:00:00.000000000,228.01,218.45573,18
2022-07-04T05:00:00.000000000,216.68,215.18716,18
2022-07-04T06:00:00.000000000,199.89,212.99278,18
2022-07-04T07:00:00.000000000,207.28,211.14606,18
2022-07-04T08:00:00.000000000,203.48,209.6411,18
2022-07-04T09:00:00.000000000,201.95,211.17521,18
2022-07-04T10:00:00.000000000,199.82,213.33604,18
2022-07-04T11:00:00.000000000,199.62,217.35821,18
2022-07-04T12:00:00.000000000,190.55,221.66997,18
2022-07-04T13:00:00.000000000,197.38,224.11282,18
2022-07-04T14:00:00.000000000,201.26,227.58433,18
2022-07-04T15:00:00.000000000,201.35,231.30992,18
2022-07-04T16:00:00.000000000,205.98,233.70772,18
2022-07-04T17:00:00.000000000,212.9,233.04175,18
2022-07-04T18:00:00.000000000,215.84,234.35139,18
2022-07-04T19:00:00.000000000,215.35,230.05568,18
2022-07-04T20:00:00.000000000,212.37,231.90197,18
2022-07-04T21:00:00.000000000,218.43,231.90429,18
2022-07-04T22:00:00.000000000,218.53,233.25945,18
2022-07-04T23:00:00.000000000,218.31,230.49432,18
2022-07-02T00:00:00.000000000,242.37,241.67773,18
2022-07-02T01:00:00.000000000,240.44,238.00645,18
2022-07-02T02:00:00.000000000,240.6,235.8165,18
2022-07-02T03:00:00.000000000,230.61,233.1089,18
2022-07-02T04:00:00.000000000,230.09,227.63872,18
2022-07-02T05:00:00.000000000,219.79,223.60601,18
2022-07-02T06:00:00.000000000,217.07,220.27331,18
2022-07-02T07:00:00.000000000,220.88,216.85422,18
2022-07-02T08:00:00.000000000,216.5,213.58511,18
2022-07-02T09:00:00.000000000,217.97,213.73764,18
2022-07-02T10:00:00.000000000,216.92,214.19334,18
2022-07-02T11:00:00.000000000,221.82,217.41643,18
2022-07-02T12:00:00.000000000,214.13,221.17698,18
2022-07-02T13:00:00.000000000,220.61,223.43864,18
