datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,502.49,486.46259,19
2022-07-01T01:00:00.000000000,487.5,489.17834,19
2022-07-01T02:00:00.000000000,501.57,489.10936,19
2022-07-01T03:00:00.000000000,548.31,493.63883,19
2022-07-01T04:00:00.000000000,581.08,501.51371,19
2022-07-01T05:00:00.000000000,565.07,510.8355,19
2022-07-01T06:00:00.000000000,590.04,521.38035,19
2022-07-01T07:00:00.000000000,604.42,529.96583,19
2022-07-01T08:00:00.000000000,629.82,525.37131,19
2022-07-01T09:00:00.000000000,628.5,516.98886,19
2022-07-01T10:00:00.000000000,616.82,509.49115,19
2022-07-01T11:00:00.000000000,580.56,503.2111,19
2022-07-01T12:00:00.000000000,579.79,496.31638,19
2022-07-01T13:00:00.000000000,573.91,485.06735,19
2022-07-01T14:00:00.000000000,536.14,462.48869,19
2022-07-01T15:00:00.000000000,504.78,442.75429,19
2022-07-01T16:00:00.000000000,513.62,429.00207,19
2022-07-01T17:00:00.000000000,495.84,414.3742,19
2022-07-01T18:00:00.000000000,458.97,403.9457,19
2022-07-01T19:00:00.000000000,468.83,391.77688,19
2022-07-01T20:00:00.000000000,462.79,384.49737,19
2022-07-01T21:00:00.000000000,449.05,386.84191,19
2022-07-01T22:00:00.000000000,457.13,390.29184,19
2022-07-01T23:00:00.000000000,444.61,402.59465,19
2022-07-02T00:00:00.000000000,454.27,425.5023,19
2022-07-02T01:00:00.000000000,467.5,430.26614,19
2022-07-02T02:00:00.000000000,446.42,433.61412,19
2022-07-02T03:00:00.000000000,501.02,443.48279,19
2022-07-02T04:00:00.000000000,560.67,458.53228,19
2022-07-02T05:00:00.000000000,586.31,473.72011,19
2022-07-02T06:00:00.000000000,572.69,489.0388,19
2022-07-02T07:00:00.000000000,543.79,500.69625,19
2022-07-02T08:00:00.000000000,526.74,497.65232,19
2022-07-02T09:00:00.000000000,484.54,489.34389,19
2022-07-02T10:00:00.000000000,470.62,483.46983,19
2022-07-02T11:00:00.000000000,476.89,478.91407,19
2022-07-02T12:00:00.000000000,470.71,474.27762,19
2022-07-02T13:00:00.000000000,494.89,464.41704,19
2022-07-02T14:00:00.000000000,488.41,442.42163,19
2022-07-02T15:00:00.000000000,452.18,422.04627,19
2022-07-02T16:00:00.000000000,434.38,407.9506,19
2022-07-02T17:00:00.000000000,441.93,392.63767,19
2022-07-02T18:00:00.000000000,475.81,379.91528,19
2022-07-02T19:00:00.000000000,483.22,365.29011,19
2022-07-02T20:00:00.000000000,459.14,356.22879,19
2022-07-02T21:00:00.000000000,478.43,356.04975,19
2022-07-02T22:00:00.000000000,510.57,356.91647,19
2022-07-02T23:00:00.000000000,551.06,366.1824,19
2022-07-03T00:00:00.000000000,536.61,402.73367,19
2022-07-03T01:00:00.000000000,532.5,402.18828,19
2022-07-03T02:00:00.000000000,527.69,399.77822,19
2022-07-03T03:00:00.000000000,503.67,405.57985,19
2022-07-03T04:00:00.000000000,498.58,415.3966,19
2022-07-03T05:00:00.000000000,456.05,424.84948,19
2022-07-03T06:00:00.000000000,472.65,435.86061,19
2022-07-03T07:00:00.000000000,552.52,446.60508,19
2022-07-03T08:00:00.000000000,576.77,446.97875,19
2022-07-03T09:00:00.000000000,574.48,443.18797,19
2022-07-03T10:00:00.000000000,474.23,441.50093,19
2022-07-03T11:00:00.000000000,424.29,440.8098,19
2022-07-03T12:00:00.000000000,394.5,438.73406,19
2022-07-03T13:00:00.000000000,376.1,431.93687,19
2022-07-03T14:00:00.000000000,303.49,413.55733,19
2022-07-03T15:00:00.000000000,245.52,397.15356,19
2022-07-03T16:00:00.000000000,263.21,385.95127,19
2022-07-03T17:00:00.000000000,346.02,374.03879,19
2022-07-03T18:00:00.000000000,377.85,364.85629,19
2022-07-03T19:00:00.000000000,386.72,354.33066,19
2022-07-03T20:00:00.000000000,408.1,347.82223,19
2022-07-03T21:00:00.000000000,449.68,348.35282,19
2022-07-03T22:00:00.000000000,465.65,345.60313,19
2022-07-03T23:00:00.000000000,460.45,348.37046,19
2022-07-04T00:00:00.000000000,479.26,392.89713,19
2022-07-04T01:00:00.000000000,526.77,395.10221,19
2022-07-04T02:00:00.000000000,521.22,395.64141,19
2022-07-04T03:00:00.000000000,459.6,403.77473,19
2022-07-04T04:00:00.000000000,468.09,416.49218,19
2022-07-04T05:00:00.000000000,488.65,428.61166,19
2022-07-04T06:00:00.000000000,502.03,441.81245,19
2022-07-04T07:00:00.000000000,475.92,453.46049,19
2022-07-04T08:00:00.000000000,428.8,453.59856,19
2022-07-04T09:00:00.000000000,470.9,448.59836,19
2022-07-04T10:00:00.000000000,410.91,446.48403,19
2022-07-04T11:00:00.000000000,411.36,445.34609,19
2022-07-04T12:00:00.000000000,417.81,443.22351,19
