datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,341.82,334.49497,27
2022-07-01T01:00:00.000000000,344.09,333.26187,27
2022-07-01T02:00:00.000000000,341.62,330.91432,27
2022-07-01T03:00:00.000000000,332.9,324.96289,27
2022-07-01T04:00:00.000000000,305.66,319.7951,27
2022-07-01T05:00:00.000000000,309.64,314.53313,27
2022-07-01T06:00:00.000000000,304.21,303.68028,27
2022-07-01T07:00:00.000000000,297.69,298.74462,27
2022-07-01T08:00:00.000000000,295.66,296.86723,27
2022-07-01T09:00:00.000000000,297.72,295.12401,27
2022-07-01T10:00:00.000000000,304.54,296.64622,27
2022-07-01T11:00:00.000000000,306.83,299.29285,27
2022-07-01T12:00:00.000000000,311.6,302.77446,27
2022-07-01T13:00:00.000000000,323.2,308.45783,27
2022-07-01T14:00:00.000000000,328.09,313.72026,27
2022-07-01T15:00:00.000000000,330.54,319.74777,27
2022-07-01T16:00:00.000000000,326.9,324.37605,27
2022-07-01T17:00:00.000000000,324.29,327.19199,27
2022-07-01T18:00:00.000000000,328.52,327.88284,27
2022-07-01T19:00:00.000000000,327.42,330.69179,27
2022-07-01T20:00:00.000000000,327.36,332.04031,27
2022-07-01T21:00:00.000000000,328.67,334.04767,27
2022-07-01T22:00:00.000000000,332.71,335.89445,27
2022-07-01T23:00:00.000000000,335.31,336.65296,27
2022-07-02T00:00:00.000000000,339.87,337.76531,27
2022-07-02T01:00:00.000000000,341.6,337.50292,27
2022-07-02T02:00:00.000000000,339.54,335.71561,27
2022-07-02T03:00:00.000000000,334.24,329.05944,27
2022-07-02T04:00:00.000000000,320.53,322.88215,27
2022-07-02T05:00:00.000000000,315.65,316.25005,27
2022-07-02T06:00:00.000000000,310.45,303.40721,27
2022-07-02T07:00:00.000000000,305.97,296.94705,27
2022-07-02T08:00:00.000000000,302.94,294.39642,27
2022-07-02T09:00:00.000000000,302.77,292.31428,27
2022-07-02T10:00:00.000000000,300.35,293.80503,27
2022-07-02T11:00:00.000000000,298.76,297.0513,27
2022-07-02T12:00:00.000000000,300.35,301.70916,27
2022-07-02T13:00:00.000000000,303.15,308.03447,27
2022-07-02T14:00:00.000000000,303.34,313.94964,27
2022-07-02T15:00:00.000000000,309.57,319.91822,27
2022-07-02T16:00:00.000000000,310.64,323.98835,27
2022-07-02T17:00:00.000000000,303.87,325.70191,27
2022-07-02T18:00:00.000000000,307.6,325.19539,27
2022-07-02T19:00:00.000000000,310.5,327.21653,27
2022-07-02T20:00:00.000000000,315.34,328.02773,27
2022-07-02T21:00:00.000000000,321.02,330.16886,27
2022-07-02T22:00:00.000000000,316.93,332.76376,27
2022-07-02T23:00:00.000000000,319.18,334.79985,27
2022-07-03T00:00:00.000000000,322.6,335.80099,27
2022-07-03T01:00:00.000000000,324.16,335.37378,27
2022-07-03T02:00:00.000000000,321.31,333.69771,27
2022-07-03T03:00:00.000000000,315.87,327.79178,27
2022-07-03T04:00:00.000000000,324.94,322.16091,27
2022-07-03T05:00:00.000000000,305.34,315.8239,27
2022-07-03T06:00:00.000000000,300.13,302.95033,27
2022-07-03T07:00:00.000000000,297.3,296.24453,27
2022-07-03T08:00:00.000000000,295.35,293.43489,27
2022-07-03T09:00:00.000000000,294.34,290.79601,27
2022-07-03T10:00:00.000000000,294.74,292.31474,27
2022-07-03T11:00:00.000000000,294.17,295.23993,27
2022-07-03T12:00:00.000000000,296.32,299.67002,27
2022-07-03T13:00:00.000000000,298.41,306.42055,27
2022-07-03T14:00:00.000000000,303.23,312.66812,27
2022-07-03T15:00:00.000000000,307.06,319.67637,27
2022-07-03T16:00:00.000000000,308.15,324.72913,27
2022-07-03T17:00:00.000000000,302.98,327.91016,27
2022-07-03T18:00:00.000000000,306.87,328.43956,27
2022-07-03T19:00:00.000000000,310.44,331.56978,27
2022-07-03T20:00:00.000000000,313.71,332.99851,27
2022-07-03T21:00:00.000000000,315.95,335.39223,27
2022-07-03T22:00:00.000000000,319.34,337.74583,27
2022-07-03T23:00:00.000000000,324.54,338.58891,27
2022-07-04T00:00:00.000000000,322.02,340.121,27
2022-07-04T01:00:00.000000000,320.99,339.10222,27
2022-07-04T02:00:00.000000000,319.66,336.7989,27
2022-07-04T03:00:00.000000000,313.03,330.2908,27
2022-07-04T04:00:00.000000000,310.21,324.28445,27
2022-07-04T05:00:00.000000000,296.74,317.93055,27
2022-07-04T06:00:00.000000000,295.05,305.15011,27
2022-07-04T07:00:00.000000000,293.9,298.69565,27
2022-07-04T08:00:00.000000000,293.48,296.12363,27
2022-07-04T09:00:00.000000000,293.16,293.8042,27
2022-07-04T10:00:00.000000000,291.79,295.5411,27
2022-07-04T11:00:00.000000000,287.1,298.64586,27
2022-07-04T12:00:00.000000000,285.01,303.02511,27
2022-07-04T13:00:00.000000000,293.95,309.72413,27
2022-07-04T14:00:00.000000000,297.94,315.92448,27
2022-07-04T15:00:00.000000000,304.11,322.82368,27
2022-07-04T16:00:00.000000000,313.06,327.8755,27
2022-07-04T17:00:00.000000000,311.4,331.17332,27
2022-07-04T18:00:00.000000000,312.29,331.92175,27
2022-07-04T19:00:00.000000000,312.83,335.47235,27
2022-07-04T20:00:00.000000000,311.19,337.26903,27
2022-07-04T21:00:00.000000000,313.17,339.91072,27
2022-07-04T22:00:00.000000000,317.16,342.51248,27
2022-07-04T23:00:00.000000000,318.43,343.27444,27
2022-07-02T00:00:00.000000000,339.87,339.05184,27
2022-07-02T01:00:00.000000000,341.6,338.4775,27
2022-07-02T02:00:00.000000000,339.54,336.36419,27
2022-07-02T03:00:00.000000000,334.24,329.3578,27
2022-07-02T04:00:00.000000000,320.53,323.10466,27
2022-07-02T05:00:00.000000000,315.65,316.61451,27
2022-07-02T06:00:00.000000000,310.45,304.19409,27
2022-07-02T07:00:00.000000000,305.97,298.23352,27
2022-07-02T08:00:00.000000000,302.94,296.06816,27
2022-07-02T09:00:00.000000000,302.77,294.4109,27
2022-07-02T10:00:00.000000000,300.35,296.15871,27
2022-07-02T11:00:00.000000000,298.76,299.56691,27
2022-07-02T12:00:00.000000000,300.35,304.24954,27
2022-07-02T13:00:00.000000000,303.15,310.44191,27
2022-07-02T14:00:00.000000000,303.34,316.1795,27
2022-07-02T15:00:00.000000000,309.57,321.87104,27
2022-07-02T16:00:00.000000000,310.64,325.78258,27
2022-07-02T17:00:00.000000000,303.87,327.22851,27
2022-07-02T18:00:00.000000000,307.6,326.60573,27
2022-07-02T19:00:00.000000000,310.5,328.46814,27
2022-07-02T20:00:00.000000000,315.34,329.19147,27
2022-07-02T21:00:00.000000000,321.02,331.21368,27
2022-07-02T22:00:00.000000000,316.93,333.75841,27
2022-07-02T23:00:00.000000000,319.18,335.86045,27
2022-07-03T00:00:00.000000000,322.6,344.78088,27
2022-07-03T01:00:00.000000000,324.16,343.71201,27
2022-07-03T02:00:00.000000000,321.31,341.45017,27
2022-07-03T03:00:00.000000000,315.87,335.42892,27
2022-07-03T04:00:00.000000000,324.94,329.75604,27
2022-07-03T05:00:00.000000000,305.34,323.75207,27
2022-07-03T06:00:00.000000000,300.13,311.21342,27
2022-07-03T07:00:00.000000000,297.3,304.96198,27
2022-07-03T08:00:00.000000000,295.35,302.37998,27
2022-07-03T09:00:00.000000000,294.34,299.93001,27
2022-07-03T10:00:00.000000000,294.74,301.75246,27
2022-07-03T11:00:00.000000000,294.17,304.77497,27
2022-07-03T12:00:00.000000000,296.32,309.0784,27
2022-07-03T13:00:00.000000000,298.41,315.74501,27
2022-07-03T14:00:00.000000000,303.23,322.01903,27
2022-07-03T15:00:00.000000000,307.06,328.97789,27
2022-07-03T16:00:00.000000000,308.15,334.20545,27
2022-07-03T17:00:00.000000000,302.98,337.81759,27
2022-07-03T18:00:00.000000000,306.87,338.90838,27
