datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,385.87,404.03271,24
2022-07-01T01:00:00.000000000,386.84,410.1426,24
2022-07-01T02:00:00.000000000,392.66,417.40903,24
2022-07-01T03:00:00.000000000,373.68,415.09606,24
2022-07-01T04:00:00.000000000,365.8,412.97575,24
2022-07-01T05:00:00.000000000,378.79,418.43392,24
2022-07-01T06:00:00.000000000,400.91,427.80617,24
2022-07-01T07:00:00.000000000,436.67,435.70877,24
2022-07-01T08:00:00.000000000,449.02,441.79906,24
2022-07-01T09:00:00.000000000,472.26,443.21679,24
2022-07-01T10:00:00.000000000,476.09,445.33418,24
2022-07-01T11:00:00.000000000,475.3,447.82609,24
2022-07-01T12:00:00.000000000,479.93,449.17294,24
2022-07-01T13:00:00.000000000,501.02,453.60694,24
2022-07-01T14:00:00.000000000,518.64,458.13129,24
2022-07-01T15:00:00.000000000,512.4,462.25617,24
2022-07-01T16:00:00.000000000,497.9,463.17327,24
2022-07-01T17:00:00.000000000,484.99,466.1667,24
2022-07-01T18:00:00.000000000,490.98,471.2948,24
2022-07-01T19:00:00.000000000,493.9,471.27621,24
2022-07-01T20:00:00.000000000,498.05,468.93387,24
2022-07-01T21:00:00.000000000,502.62,466.04791,24
2022-07-01T22:00:00.000000000,499.97,463.5694,24
2022-07-01T23:00:00.000000000,489.56,459.40664,24
2022-07-02T00:00:00.000000000,463.32,448.23519,24
2022-07-02T01:00:00.000000000,435.97,450.57831,24
2022-07-02T02:00:00.000000000,400.18,453.97087,24
2022-07-02T03:00:00.000000000,379.59,447.65138,24
2022-07-02T04:00:00.000000000,418.75,442.28915,24
2022-07-02T05:00:00.000000000,436.7,443.41755,24
2022-07-02T06:00:00.000000000,450.1,448.33791,24
2022-07-02T07:00:00.000000000,464.35,453.42653,24
2022-07-02T08:00:00.000000000,477.97,454.99846,24
2022-07-02T09:00:00.000000000,491.11,450.88494,24
2022-07-02T10:00:00.000000000,517.08,449.01462,24
2022-07-02T11:00:00.000000000,551.7,447.23679,24
2022-07-02T12:00:00.000000000,593.79,443.90292,24
2022-07-02T13:00:00.000000000,605.66,444.06926,24
2022-07-02T14:00:00.000000000,556.33,444.50706,24
2022-07-02T15:00:00.000000000,525.58,445.763,24
2022-07-02T16:00:00.000000000,530.68,445.64354,24
2022-07-02T17:00:00.000000000,528.56,447.57239,24
2022-07-02T18:00:00.000000000,521.65,452.53447,24
2022-07-02T19:00:00.000000000,503.85,454.3556,24
2022-07-02T20:00:00.000000000,497.86,454.1929,24
2022-07-02T21:00:00.000000000,486.36,454.56889,24
2022-07-02T22:00:00.000000000,482.54,454.73277,24
2022-07-02T23:00:00.000000000,483.05,452.1543,24
2022-07-03T00:00:00.000000000,467.28,458.66574,24
2022-07-03T01:00:00.000000000,468.69,460.04778,24
2022-07-03T02:00:00.000000000,446.13,462.35463,24
2022-07-03T03:00:00.000000000,407.51,455.00051,24
2022-07-03T04:00:00.000000000,376.96,446.64042,24
2022-07-03T05:00:00.000000000,368.7,443.67743,24
2022-07-03T06:00:00.000000000,385.95,443.64911,24
2022-07-03T07:00:00.000000000,385.52,444.32871,24
2022-07-03T08:00:00.000000000,373.31,439.70702,24
2022-07-03T09:00:00.000000000,365.28,429.70883,24
2022-07-03T10:00:00.000000000,379.28,423.14684,24
2022-07-03T11:00:00.000000000,389.71,416.39629,24
2022-07-03T12:00:00.000000000,392.99,411.40238,24
2022-07-03T13:00:00.000000000,395.4,410.94315,24
2022-07-03T14:00:00.000000000,367.48,411.00844,24
2022-07-03T15:00:00.000000000,346.81,413.38697,24
2022-07-03T16:00:00.000000000,322.9,415.42433,24
2022-07-03T17:00:00.000000000,315.2,418.59125,24
2022-07-03T18:00:00.000000000,313.83,425.05665,24
