datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,285.39,274.79547,8
2022-07-01T01:00:00.000000000,288.58,275.11399,8
2022-07-01T02:00:00.000000000,280.97,275.50167,8
2022-07-01T03:00:00.000000000,281.88,275.16054,8
2022-07-01T04:00:00.000000000,292.18,276.07316,8
2022-07-01T05:00:00.000000000,275.66,276.40149,8
2022-07-01T06:00:00.000000000,271.97,276.45973,8
2022-07-01T07:00:00.000000000,268.4,277.14951,8
2022-07-01T08:00:00.000000000,265.05,278.13008,8
2022-07-01T09:00:00.000000000,264.74,280.33276,8
2022-07-01T10:00:00.000000000,267.8,281.67308,8
2022-07-01T11:00:00.000000000,269.39,281.0113,8
2022-07-01T12:00:00.000000000,263.6,278.21087,8
2022-07-01T13:00:00.000000000,259.86,273.97048,8
2022-07-01T14:00:00.000000000,248.08,270.19443,8
2022-07-01T15:00:00.000000000,238.31,269.39847,8
2022-07-01T16:00:00.000000000,244.22,269.69961,8
2022-07-01T17:00:00.000000000,244.34,270.52832,8
2022-07-01T18:00:00.000000000,245.91,272.82081,8
2022-07-01T19:00:00.000000000,265.71,275.12797,8
2022-07-01T20:00:00.000000000,276.35,275.58447,8
2022-07-01T21:00:00.000000000,281.57,275.88809,8
2022-07-01T22:00:00.000000000,287.9,276.19015,8
2022-07-01T23:00:00.000000000,282.79,277.61713,8
2022-07-02T00:00:00.000000000,281.46,291.95735,8
2022-07-02T01:00:00.000000000,284.94,294.4152,8
2022-07-02T02:00:00.000000000,285.22,295.30557,8
2022-07-02T03:00:00.000000000,282.29,294.01167,8
2022-07-02T04:00:00.000000000,279.03,292.74038,8
2022-07-02T05:00:00.000000000,266.71,290.29792,8
2022-07-02T06:00:00.000000000,265.93,287.10738,8
2022-07-02T07:00:00.000000000,264.93,284.60972,8
2022-07-02T08:00:00.000000000,260.99,283.52073,8
2022-07-02T09:00:00.000000000,259.49,284.9817,8
2022-07-02T10:00:00.000000000,259.8,286.15509,8
2022-07-02T11:00:00.000000000,258.4,285.36866,8
2022-07-02T12:00:00.000000000,247.56,281.1224,8
2022-07-02T13:00:00.000000000,229.22,273.64783,8
2022-07-02T14:00:00.000000000,216.83,265.49284,8
2022-07-02T15:00:00.000000000,213.0,260.83991,8
2022-07-02T16:00:00.000000000,215.82,258.68664,8
2022-07-02T17:00:00.000000000,220.03,258.81017,8
2022-07-02T18:00:00.000000000,224.54,261.87412,8
2022-07-02T19:00:00.000000000,230.89,266.03627,8
2022-07-02T20:00:00.000000000,233.52,269.88046,8
2022-07-02T21:00:00.000000000,234.09,274.84935,8
2022-07-02T22:00:00.000000000,230.87,280.94138,8
2022-07-02T23:00:00.000000000,243.9,288.24257,8
2022-07-03T00:00:00.000000000,264.88,298.17268,8
2022-07-03T01:00:00.000000000,276.05,299.56082,8
2022-07-03T02:00:00.000000000,288.26,300.03582,8
2022-07-03T03:00:00.000000000,301.16,298.8216,8
2022-07-03T04:00:00.000000000,301.28,298.13567,8
2022-07-03T05:00:00.000000000,302.45,296.64334,8
2022-07-03T06:00:00.000000000,292.74,294.56244,8
2022-07-03T07:00:00.000000000,283.97,293.13241,8
2022-07-03T08:00:00.000000000,278.19,292.69375,8
2022-07-03T09:00:00.000000000,272.98,294.24113,8
2022-07-03T10:00:00.000000000,268.12,295.26749,8
2022-07-03T11:00:00.000000000,264.44,294.61275,8
2022-07-03T12:00:00.000000000,237.12,291.6823,8
2022-07-03T13:00:00.000000000,206.92,286.6941,8
2022-07-03T14:00:00.000000000,211.36,281.43802,8
2022-07-03T15:00:00.000000000,218.34,279.0528,8
2022-07-03T16:00:00.000000000,228.97,278.10175,8
2022-07-03T17:00:00.000000000,244.98,278.59923,8
2022-07-03T18:00:00.000000000,245.82,281.23205,8
2022-07-03T19:00:00.000000000,234.88,284.55294,8
2022-07-03T20:00:00.000000000,235.78,286.92785,8
2022-07-03T21:00:00.000000000,240.83,289.76851,8
2022-07-03T22:00:00.000000000,245.21,293.15669,8
2022-07-03T23:00:00.000000000,257.32,297.79403,8
2022-07-04T00:00:00.000000000,266.98,311.05379,8
2022-07-04T01:00:00.000000000,272.7,314.15754,8
2022-07-04T02:00:00.000000000,270.52,315.16084,8
2022-07-04T03:00:00.000000000,282.75,313.62108,8
2022-07-04T04:00:00.000000000,296.12,312.16528,8
2022-07-04T05:00:00.000000000,287.21,309.79098,8
