datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,361.23,362.68264,20
2022-07-01T01:00:00.000000000,368.33,367.04162,20
2022-07-01T02:00:00.000000000,371.74,368.91327,20
2022-07-01T03:00:00.000000000,372.67,366.54748,20
2022-07-01T04:00:00.000000000,372.04,359.95804,20
2022-07-01T05:00:00.000000000,364.26,351.61371,20
2022-07-01T06:00:00.000000000,360.6,344.57466,20
2022-07-01T07:00:00.000000000,354.48,340.66714,20
2022-07-01T08:00:00.000000000,352.46,339.62891,20
2022-07-01T09:00:00.000000000,352.33,340.86313,20
2022-07-01T10:00:00.000000000,352.86,340.83683,20
2022-07-01T11:00:00.000000000,353.22,339.96042,20
2022-07-01T12:00:00.000000000,349.65,339.12928,20
2022-07-01T13:00:00.000000000,345.08,339.23718,20
2022-07-01T14:00:00.000000000,344.43,341.65294,20
2022-07-01T15:00:00.000000000,344.55,345.70899,20
2022-07-01T16:00:00.000000000,341.07,350.05183,20
2022-07-01T17:00:00.000000000,340.27,353.03683,20
2022-07-01T18:00:00.000000000,336.45,354.19563,20
2022-07-01T19:00:00.000000000,334.43,353.22427,20
2022-07-01T20:00:00.000000000,331.32,351.10385,20
2022-07-01T21:00:00.000000000,330.56,349.77835,20
2022-07-01T22:00:00.000000000,333.9,351.17674,20
2022-07-01T23:00:00.000000000,339.76,354.33717,20
2022-07-02T00:00:00.000000000,349.34,364.88171,20
2022-07-02T01:00:00.000000000,359.15,368.9778,20
2022-07-02T02:00:00.000000000,361.5,370.47291,20
2022-07-02T03:00:00.000000000,363.3,367.61133,20
2022-07-02T04:00:00.000000000,361.89,360.34158,20
2022-07-02T05:00:00.000000000,358.57,351.45536,20
2022-07-02T06:00:00.000000000,355.06,344.38859,20
2022-07-02T07:00:00.000000000,353.96,340.90314,20
2022-07-02T08:00:00.000000000,352.91,340.12229,20
2022-07-02T09:00:00.000000000,354.45,340.9877,20
2022-07-02T10:00:00.000000000,355.51,339.86448,20
2022-07-02T11:00:00.000000000,354.31,337.75332,20
2022-07-02T12:00:00.000000000,347.18,336.64061,20
2022-07-02T13:00:00.000000000,338.11,337.91371,20
2022-07-02T14:00:00.000000000,338.2,342.21885,20
2022-07-02T15:00:00.000000000,338.27,347.88514,20
2022-07-02T16:00:00.000000000,338.58,352.97517,20
2022-07-02T17:00:00.000000000,337.71,355.99991,20
2022-07-02T18:00:00.000000000,337.67,356.93012,20
2022-07-02T19:00:00.000000000,336.84,355.77649,20
2022-07-02T20:00:00.000000000,336.76,353.6103,20
2022-07-02T21:00:00.000000000,336.16,352.28006,20
2022-07-02T22:00:00.000000000,344.65,353.68185,20
2022-07-02T23:00:00.000000000,352.51,356.77801,20
2022-07-03T00:00:00.000000000,357.45,369.28878,20
2022-07-03T01:00:00.000000000,363.32,372.90035,20
2022-07-03T02:00:00.000000000,366.91,374.25798,20
2022-07-03T03:00:00.000000000,368.18,371.4903,20
2022-07-03T04:00:00.000000000,369.63,364.52785,20
2022-07-03T05:00:00.000000000,364.85,356.17946,20
2022-07-03T06:00:00.000000000,361.8,349.84304,20
2022-07-03T07:00:00.000000000,356.65,346.96013,20
2022-07-03T08:00:00.000000000,356.8,346.26739,20
2022-07-03T09:00:00.000000000,357.35,346.75443,20
2022-07-03T10:00:00.000000000,356.13,345.02481,20
2022-07-03T11:00:00.000000000,355.62,342.25519,20
2022-07-03T12:00:00.000000000,345.1,340.90036,20
2022-07-03T13:00:00.000000000,332.51,342.75756,20
2022-07-03T14:00:00.000000000,330.49,348.20521,20
2022-07-03T15:00:00.000000000,332.05,354.62898,20
2022-07-03T16:00:00.000000000,334.22,359.45549,20
2022-07-03T17:00:00.000000000,335.59,361.39696,20
2022-07-03T18:00:00.000000000,335.64,361.5312,20
2022-07-03T19:00:00.000000000,334.19,360.62717,20
2022-07-03T20:00:00.000000000,335.92,359.30747,20
2022-07-03T21:00:00.000000000,338.65,358.46283,20
2022-07-03T22:00:00.000000000,343.66,359.71423,20
