datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,216.89,205.98013,23
2022-07-01T01:00:00.000000000,221.96,212.81781,23
2022-07-01T02:00:00.000000000,229.12,218.16883,23
2022-07-01T03:00:00.000000000,235.08,219.68699,23
2022-07-01T04:00:00.000000000,231.11,217.57132,23
2022-07-01T05:00:00.000000000,225.62,215.87392,23
2022-07-01T06:00:00.000000000,215.72,209.42021,23
2022-07-01T07:00:00.000000000,200.47,203.36943,23
2022-07-01T08:00:00.000000000,191.56,196.58522,23
2022-07-01T09:00:00.000000000,187.55,192.58864,23
2022-07-01T10:00:00.000000000,178.55,187.90154,23
2022-07-01T11:00:00.000000000,177.52,187.05238,23
2022-07-01T12:00:00.000000000,177.76,185.19846,23
2022-07-01T13:00:00.000000000,177.46,180.86397,23
2022-07-01T14:00:00.000000000,171.68,178.57015,23
2022-07-01T15:00:00.000000000,164.31,171.59696,23
2022-07-01T16:00:00.000000000,161.87,168.74458,23
2022-07-01T17:00:00.000000000,170.5,171.75907,23
2022-07-01T18:00:00.000000000,180.44,177.4874,23
2022-07-01T19:00:00.000000000,187.12,187.20482,23
2022-07-01T20:00:00.000000000,198.25,195.33181,23
2022-07-01T21:00:00.000000000,206.66,198.61849,23
2022-07-01T22:00:00.000000000,212.43,201.03383,23
2022-07-01T23:00:00.000000000,210.73,203.92137,23
2022-07-02T00:00:00.000000000,217.34,207.46993,23
2022-07-02T01:00:00.000000000,221.79,213.00311,23
2022-07-02T02:00:00.000000000,228.09,216.81624,23
2022-07-02T03:00:00.000000000,231.97,217.4884,23
2022-07-02T04:00:00.000000000,228.51,215.47922,23
2022-07-02T05:00:00.000000000,228.16,214.67423,23
2022-07-02T06:00:00.000000000,222.02,210.40604,23
2022-07-02T07:00:00.000000000,207.09,206.33282,23
2022-07-02T08:00:00.000000000,195.28,200.72907,23
2022-07-02T09:00:00.000000000,179.41,196.77292,23
2022-07-02T10:00:00.000000000,165.86,191.64585,23
2022-07-02T11:00:00.000000000,162.93,189.9706,23
2022-07-02T12:00:00.000000000,159.1,188.1759,23
2022-07-02T13:00:00.000000000,156.58,185.04758,23
2022-07-02T14:00:00.000000000,140.63,184.5494,23
2022-07-02T15:00:00.000000000,135.79,179.70254,23
2022-07-02T16:00:00.000000000,142.54,178.00288,23
2022-07-02T17:00:00.000000000,147.68,180.1926,23
2022-07-02T18:00:00.000000000,146.81,183.48731,23
2022-07-02T19:00:00.000000000,148.33,190.53817,23
2022-07-02T20:00:00.000000000,167.11,196.61099,23
2022-07-02T21:00:00.000000000,176.04,198.80024,23
2022-07-02T22:00:00.000000000,178.28,200.93446,23
2022-07-02T23:00:00.000000000,184.53,203.75833,23
2022-07-03T00:00:00.000000000,189.86,203.09931,23
2022-07-03T01:00:00.000000000,194.48,209.2674,23
2022-07-03T02:00:00.000000000,213.05,213.50057,23
2022-07-03T03:00:00.000000000,224.59,214.64973,23
2022-07-03T04:00:00.000000000,223.8,212.98656,23
2022-07-03T05:00:00.000000000,218.77,212.71485,23
2022-07-03T06:00:00.000000000,210.85,208.81352,23
2022-07-03T07:00:00.000000000,192.96,204.76872,23
2022-07-03T08:00:00.000000000,175.32,198.70674,23
2022-07-03T09:00:00.000000000,161.42,194.34037,23
2022-07-03T10:00:00.000000000,149.67,188.89152,23
2022-07-03T11:00:00.000000000,147.99,187.26457,23
2022-07-03T12:00:00.000000000,148.1,185.64607,23
2022-07-03T13:00:00.000000000,147.75,182.51119,23
2022-07-03T14:00:00.000000000,127.36,181.5766,23
2022-07-03T15:00:00.000000000,112.87,175.77677,23
2022-07-03T16:00:00.000000000,119.48,173.0539,23
2022-07-03T17:00:00.000000000,129.82,174.46867,23
2022-07-03T18:00:00.000000000,147.05,177.42808,23
2022-07-03T19:00:00.000000000,159.48,184.57335,23
2022-07-03T20:00:00.000000000,168.16,190.91472,23
2022-07-03T21:00:00.000000000,169.68,193.45354,23
2022-07-03T22:00:00.000000000,175.35,195.94806,23
2022-07-03T23:00:00.000000000,188.4,199.2313,23
2022-07-04T00:00:00.000000000,197.02,202.33252,23
2022-07-04T01:00:00.000000000,204.04,208.55788,23
2022-07-04T02:00:00.000000000,211.51,212.93292,23
2022-07-04T03:00:00.000000000,210.78,214.13907,23
2022-07-04T04:00:00.000000000,202.69,212.21029,23
2022-07-04T05:00:00.000000000,197.4,211.45078,23
2022-07-04T06:00:00.000000000,179.42,207.09282,23
2022-07-04T07:00:00.000000000,175.43,202.83703,23
2022-07-04T08:00:00.000000000,168.83,197.04612,23
2022-07-04T09:00:00.000000000,159.9,193.24054,23
2022-07-04T10:00:00.000000000,149.03,188.36548,23
2022-07-04T11:00:00.000000000,148.53,187.21069,23
2022-07-04T12:00:00.000000000,148.72,185.87645,23
2022-07-04T13:00:00.000000000,150.54,183.15254,23
2022-07-04T14:00:00.000000000,140.98,182.65283,23
2022-07-04T15:00:00.000000000,128.3,177.21152,23
2022-07-04T16:00:00.000000000,128.64,174.50108,23
2022-07-04T17:00:00.000000000,138.74,175.63439,23
2022-07-04T18:00:00.000000000,148.98,178.2098,23
2022-07-04T19:00:00.000000000,163.65,185.019,23
2022-07-04T20:00:00.000000000,179.21,191.12408,23
2022-07-04T21:00:00.000000000,194.03,193.36703,23
2022-07-04T22:00:00.000000000,192.35,195.51875,23
2022-07-04T23:00:00.000000000,194.52,198.55043,23
2022-07-02T00:00:00.000000000,217.34,209.88412,23
2022-07-02T01:00:00.000000000,221.79,214.7581,23
2022-07-02T02:00:00.000000000,228.09,218.4193,23
2022-07-02T03:00:00.000000000,231.97,219.52223,23
2022-07-02T04:00:00.000000000,228.51,218.2702,23
2022-07-02T05:00:00.000000000,228.16,217.64473,23
2022-07-02T06:00:00.000000000,222.02,213.30285,23
2022-07-02T07:00:00.000000000,207.09,208.61637,23
2022-07-02T08:00:00.000000000,195.28,202.2107,23
2022-07-02T09:00:00.000000000,179.41,197.40469,23
2022-07-02T10:00:00.000000000,165.86,191.72722,23
2022-07-02T11:00:00.000000000,162.93,189.63378,23
2022-07-02T12:00:00.000000000,159.1,187.93111,23
2022-07-02T13:00:00.000000000,156.58,185.72466,23
2022-07-02T14:00:00.000000000,140.63,186.63836,23
2022-07-02T15:00:00.000000000,135.79,183.75156,23
2022-07-02T16:00:00.000000000,142.54,183.51748,23
2022-07-02T17:00:00.000000000,147.68,185.90259,23
2022-07-02T18:00:00.000000000,146.81,188.1604,23
2022-07-02T19:00:00.000000000,148.33,193.79297,23
2022-07-02T20:00:00.000000000,167.11,198.66758,23
2022-07-02T21:00:00.000000000,176.04,200.25968,23
2022-07-02T22:00:00.000000000,178.28,202.19974,23
2022-07-02T23:00:00.000000000,184.53,204.97058,23
2022-07-03T00:00:00.000000000,189.86,198.25098,23
2022-07-03T01:00:00.000000000,194.48,205.0797,23
2022-07-03T02:00:00.000000000,213.05,210.22066,23
2022-07-03T03:00:00.000000000,224.59,212.6959,23
2022-07-03T04:00:00.000000000,223.8,212.30405,23
2022-07-03T05:00:00.000000000,218.77,212.99353,23
2022-07-03T06:00:00.000000000,210.85,209.29015,23
2022-07-03T07:00:00.000000000,192.96,204.63718,23
2022-07-03T08:00:00.000000000,175.32,197.35791,23
2022-07-03T09:00:00.000000000,161.42,191.88607,23
2022-07-03T10:00:00.000000000,149.67,185.4583,23
2022-07-03T11:00:00.000000000,147.99,183.14606,23
2022-07-03T12:00:00.000000000,148.1,181.09588,23
2022-07-03T13:00:00.000000000,147.75,177.63406,23
2022-07-03T14:00:00.000000000,127.36,176.45506,23
2022-07-03T15:00:00.000000000,112.87,170.34784,23
2022-07-03T16:00:00.000000000,119.48,167.28035,23
2022-07-03T17:00:00.000000000,129.82,168.17713,23
2022-07-03T18:00:00.000000000,147.05,170.58469,23
2022-07-03T19:00:00.000000000,159.48,177.51595,23
2022-07-03T20:00:00.000000000,168.16,183.9834,23
2022-07-03T21:00:00.000000000,169.68,187.05898,23
2022-07-03T22:00:00.000000000,175.35,190.13441,23
2022-07-03T23:00:00.000000000,188.4,193.97379,23
2022-07-04T00:00:00.000000000,197.02,191.1326,23
2022-07-04T01:00:00.000000000,204.04,199.26828,23
2022-07-04T02:00:00.000000000,211.51,205.92077,23
2022-07-04T03:00:00.000000000,210.78,210.05739,23
2022-07-04T04:00:00.000000000,202.69,210.81863,23
2022-07-04T05:00:00.000000000,197.4,212.17228,23
2022-07-04T06:00:00.000000000,179.42,208.0258,23
2022-07-04T07:00:00.000000000,175.43,202.32818,23
2022-07-04T08:00:00.000000000,168.83,193.78015,23
2022-07-04T09:00:00.000000000,159.9,187.60342,23
2022-07-04T10:00:00.000000000,149.03,180.72627,23
2022-07-04T11:00:00.000000000,148.53,178.34562,23
2022-07-04T12:00:00.000000000,148.72,176.08843,23
2022-07-04T13:00:00.000000000,150.54,172.03908,23
2022-07-04T14:00:00.000000000,140.98,169.91738,23
2022-07-04T15:00:00.000000000,128.3,162.30581,23
2022-07-04T16:00:00.000000000,128.64,157.774,23
2022-07-04T17:00:00.000000000,138.74,157.648,23
2022-07-04T18:00:00.000000000,148.98,159.87223,23
2022-07-04T19:00:00.000000000,163.65,167.33614,23
2022-07-04T20:00:00.000000000,179.21,174.75174,23
2022-07-04T21:00:00.000000000,194.03,178.86008,23
2022-07-04T22:00:00.000000000,192.35,182.68378,23
2022-07-04T23:00:00.000000000,194.52,187.10631,23
2022-07-05T00:00:00.000000000,201.27,192.28539,23
2022-07-05T01:00:00.000000000,202.81,200.48966,23
2022-07-05T02:00:00.000000000,210.68,207.13793,23
2022-07-05T03:00:00.000000000,214.49,210.6187,23
2022-07-05T04:00:00.000000000,217.07,210.11996,23
2022-07-05T05:00:00.000000000,216.68,210.0188,23
2022-07-05T06:00:00.000000000,211.15,204.38097,23
2022-07-05T07:00:00.000000000,192.04,197.90133,23
2022-07-05T08:00:00.000000000,186.81,189.59008,23
2022-07-05T09:00:00.000000000,179.27,184.20961,23
2022-07-05T10:00:00.000000000,167.07,178.15397,23
2022-07-05T11:00:00.000000000,162.33,176.48335,23
2022-07-05T12:00:00.000000000,162.84,174.40413,23
2022-07-05T13:00:00.000000000,163.41,170.63482,23
2022-07-05T14:00:00.000000000,155.62,168.99338,23
2022-07-05T15:00:00.000000000,145.34,162.12242,23
2022-07-05T16:00:00.000000000,137.13,158.53177,23
2022-07-05T17:00:00.000000000,138.39,159.92073,23
2022-07-05T18:00:00.000000000,147.04,163.8557,23
2022-07-05T19:00:00.000000000,159.4,172.50127,23
2022-07-05T20:00:00.000000000,178.34,180.14524,23
2022-07-05T21:00:00.000000000,198.11,183.52176,23
2022-07-05T22:00:00.000000000,208.12,186.15236,23
2022-07-05T23:00:00.000000000,209.8,189.60561,23
2022-07-03T00:00:00.000000000,189.86,190.22267,23
2022-07-03T01:00:00.000000000,194.48,199.95159,23
2022-07-03T02:00:00.000000000,213.05,208.13668,23
2022-07-03T03:00:00.000000000,224.59,212.70431,23
2022-07-03T04:00:00.000000000,223.8,212.7837,23
2022-07-03T05:00:00.000000000,218.77,212.17519,23
2022-07-03T06:00:00.000000000,210.85,204.83199,23
2022-07-03T07:00:00.000000000,192.96,195.89401,23
2022-07-03T08:00:00.000000000,175.32,184.40643,23
2022-07-03T09:00:00.000000000,161.42,176.03699,23
2022-07-03T10:00:00.000000000,149.67,167.24206,23
2022-07-03T11:00:00.000000000,147.99,163.10879,23
2022-07-03T12:00:00.000000000,148.1,158.93099,23
2022-07-03T13:00:00.000000000,147.75,154.27749,23
2022-07-03T14:00:00.000000000,127.36,153.46108,23
2022-07-03T15:00:00.000000000,112.87,149.02196,23
2022-07-03T16:00:00.000000000,119.48,148.86017,23
2022-07-03T17:00:00.000000000,129.82,153.19779,23
2022-07-03T18:00:00.000000000,147.05,158.73425,23
2022-07-03T19:00:00.000000000,159.48,168.01034,23
2022-07-03T20:00:00.000000000,168.16,175.41641,23
2022-07-03T21:00:00.000000000,169.68,178.93539,23
2022-07-03T22:00:00.000000000,175.35,181.93831,23
2022-07-03T23:00:00.000000000,188.4,186.31096,23
2022-07-04T00:00:00.000000000,197.02,187.20781,23
2022-07-04T01:00:00.000000000,204.04,195.80541,23
2022-07-04T02:00:00.000000000,211.51,203.17401,23
2022-07-04T03:00:00.000000000,210.78,208.04198,23
2022-07-04T04:00:00.000000000,202.69,209.10133,23
2022-07-04T05:00:00.000000000,197.4,210.12287,23
2022-07-04T06:00:00.000000000,179.42,204.82919,23
2022-07-04T07:00:00.000000000,175.43,197.51202,23
2022-07-04T08:00:00.000000000,168.83,187.2399,23
2022-07-04T09:00:00.000000000,159.9,179.74437,23
2022-07-04T10:00:00.000000000,149.03,171.66997,23
2022-07-04T11:00:00.000000000,148.53,168.29887,23
2022-07-04T12:00:00.000000000,148.72,165.26025,23
2022-07-04T13:00:00.000000000,150.54,161.51739,23
2022-07-04T14:00:00.000000000,140.98,160.71837,23
2022-07-04T15:00:00.000000000,128.3,155.28565,23
2022-07-04T16:00:00.000000000,128.64,153.10055,23
2022-07-04T17:00:00.000000000,138.74,154.83348,23
2022-07-04T18:00:00.000000000,148.98,157.94178,23
2022-07-04T19:00:00.000000000,163.65,165.62792,23
2022-07-04T20:00:00.000000000,179.21,172.56317,23
2022-07-04T21:00:00.000000000,194.03,176.10556,23
2022-07-04T22:00:00.000000000,192.35,179.27963,23
2022-07-04T23:00:00.000000000,194.52,183.41937,23
2022-07-05T00:00:00.000000000,201.27,190.36844,23
2022-07-05T01:00:00.000000000,202.81,199.39506,23
2022-07-05T02:00:00.000000000,210.68,207.12775,23
2022-07-05T03:00:00.000000000,214.49,211.76118,23
2022-07-05T04:00:00.000000000,217.07,212.28764,23
2022-07-05T05:00:00.000000000,216.68,212.55825,23
2022-07-05T06:00:00.000000000,211.15,206.2063,23
2022-07-05T07:00:00.000000000,192.04,198.28838,23
