datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,378.59,374.24636,4
2022-07-01T01:00:00.000000000,373.34,377.29275,4
2022-07-01T02:00:00.000000000,355.65,375.53131,4
2022-07-01T03:00:00.000000000,334.78,372.30685,4
2022-07-01T04:00:00.000000000,319.78,372.09636,4
2022-07-01T05:00:00.000000000,304.15,370.61562,4
2022-07-01T06:00:00.000000000,291.63,369.7146,4
2022-07-01T07:00:00.000000000,285.25,369.60376,4
2022-07-01T08:00:00.000000000,291.17,369.59343,4
2022-07-01T09:00:00.000000000,291.12,374.07411,4
2022-07-01T10:00:00.000000000,309.13,383.32585,4
2022-07-01T11:00:00.000000000,347.98,396.81221,4
2022-07-01T12:00:00.000000000,367.73,409.09915,4
2022-07-01T13:00:00.000000000,390.63,419.96814,4
2022-07-01T14:00:00.000000000,424.45,428.02366,4
2022-07-01T15:00:00.000000000,434.18,436.24232,4
2022-07-01T16:00:00.000000000,444.09,443.6195,4
2022-07-01T17:00:00.000000000,443.26,448.06019,4
2022-07-01T18:00:00.000000000,443.84,449.90777,4
2022-07-01T19:00:00.000000000,444.56,449.74466,4
2022-07-01T20:00:00.000000000,446.84,450.12075,4
2022-07-01T21:00:00.000000000,449.32,448.48051,4
2022-07-01T22:00:00.000000000,447.57,443.78864,4
2022-07-01T23:00:00.000000000,435.09,438.43389,4
2022-07-02T00:00:00.000000000,416.82,417.24978,4
2022-07-02T01:00:00.000000000,403.06,417.5155,4
2022-07-02T02:00:00.000000000,394.53,413.24152,4
2022-07-02T03:00:00.000000000,383.38,407.0493,4
2022-07-02T04:00:00.000000000,368.86,403.26751,4
2022-07-02T05:00:00.000000000,352.47,398.19756,4
2022-07-02T06:00:00.000000000,341.18,393.29592,4
2022-07-02T07:00:00.000000000,324.58,389.51474,4
2022-07-02T08:00:00.000000000,314.33,386.56332,4
2022-07-02T09:00:00.000000000,356.05,388.52642,4
2022-07-02T10:00:00.000000000,386.1,395.33286,4
2022-07-02T11:00:00.000000000,433.58,407.39576,4
2022-07-02T12:00:00.000000000,473.43,418.85418,4
2022-07-02T13:00:00.000000000,491.41,429.76427,4
2022-07-02T14:00:00.000000000,501.69,437.89713,4
2022-07-02T15:00:00.000000000,494.47,446.9736,4
2022-07-02T16:00:00.000000000,489.63,455.30385,4
2022-07-02T17:00:00.000000000,486.05,459.79082,4
2022-07-02T18:00:00.000000000,486.17,461.3118,4
2022-07-02T19:00:00.000000000,483.28,460.29414,4
2022-07-02T20:00:00.000000000,479.64,459.24004,4
2022-07-02T21:00:00.000000000,473.96,456.81555,4
2022-07-02T22:00:00.000000000,468.27,451.25376,4
2022-07-02T23:00:00.000000000,462.42,445.50264,4
2022-07-03T00:00:00.000000000,457.34,443.19721,4
2022-07-03T01:00:00.000000000,442.32,437.50018,4
2022-07-03T02:00:00.000000000,421.77,427.08627,4
2022-07-03T03:00:00.000000000,403.84,414.75206,4
2022-07-03T04:00:00.000000000,390.39,405.00237,4
2022-07-03T05:00:00.000000000,370.54,393.94967,4
2022-07-03T06:00:00.000000000,356.67,383.16454,4
2022-07-03T07:00:00.000000000,367.65,373.71134,4
2022-07-03T08:00:00.000000000,393.61,365.21229,4
2022-07-03T09:00:00.000000000,415.86,361.77557,4
2022-07-03T10:00:00.000000000,437.46,363.13076,4
2022-07-03T11:00:00.000000000,438.07,369.4152,4
2022-07-03T12:00:00.000000000,431.36,375.0195,4
2022-07-03T13:00:00.000000000,435.52,381.45041,4
2022-07-03T14:00:00.000000000,442.81,388.35052,4
2022-07-03T15:00:00.000000000,448.46,397.30053,4
2022-07-03T16:00:00.000000000,450.93,408.54009,4
2022-07-03T17:00:00.000000000,442.95,415.13959,4
2022-07-03T18:00:00.000000000,435.64,418.04988,4
2022-07-03T19:00:00.000000000,425.19,417.07297,4
2022-07-03T20:00:00.000000000,419.28,414.46656,4
2022-07-03T21:00:00.000000000,402.41,410.27035,4
2022-07-03T22:00:00.000000000,383.54,404.06351,4
2022-07-03T23:00:00.000000000,368.84,398.07678,4
2022-07-04T00:00:00.000000000,361.54,405.54203,4
2022-07-04T01:00:00.000000000,345.39,400.32252,4
2022-07-04T02:00:00.000000000,324.23,390.37837,4
2022-07-04T03:00:00.000000000,311.46,378.58548,4
2022-07-04T04:00:00.000000000,292.26,370.01904,4
2022-07-04T05:00:00.000000000,275.43,360.27281,4
2022-07-04T06:00:00.000000000,259.12,350.92566,4
2022-07-04T07:00:00.000000000,246.5,343.25271,4
2022-07-04T08:00:00.000000000,240.6,335.96665,4
2022-07-04T09:00:00.000000000,236.73,333.76536,4
2022-07-04T10:00:00.000000000,247.39,336.43228,4
2022-07-04T11:00:00.000000000,260.67,343.97661,4
2022-07-04T12:00:00.000000000,255.88,350.87794,4
2022-07-04T13:00:00.000000000,282.18,358.53292,4
2022-07-04T14:00:00.000000000,320.18,366.93177,4
2022-07-04T15:00:00.000000000,316.97,376.92394,4
2022-07-04T16:00:00.000000000,322.09,388.81391,4
2022-07-04T17:00:00.000000000,338.07,396.22466,4
2022-07-04T18:00:00.000000000,358.51,400.05198,4
2022-07-04T19:00:00.000000000,368.55,399.98146,4
2022-07-04T20:00:00.000000000,371.86,398.50106,4
2022-07-04T21:00:00.000000000,370.95,395.15125,4
2022-07-04T22:00:00.000000000,369.18,389.81062,4
2022-07-04T23:00:00.000000000,369.02,384.03867,4
2022-07-02T00:00:00.000000000,416.82,412.26882,4
2022-07-02T01:00:00.000000000,403.06,414.70902,4
2022-07-02T02:00:00.000000000,394.53,412.59544,4
2022-07-02T03:00:00.000000000,383.38,408.83636,4
2022-07-02T04:00:00.000000000,368.86,407.31871,4
2022-07-02T05:00:00.000000000,352.47,404.35912,4
2022-07-02T06:00:00.000000000,341.18,401.53706,4
2022-07-02T07:00:00.000000000,324.58,399.27825,4
2022-07-02T08:00:00.000000000,314.33,397.76475,4
2022-07-02T09:00:00.000000000,356.05,400.78981,4
2022-07-02T10:00:00.000000000,386.1,408.5733,4
2022-07-02T11:00:00.000000000,433.58,421.22791,4
2022-07-02T12:00:00.000000000,473.43,433.05681,4
2022-07-02T13:00:00.000000000,491.41,443.79593,4
2022-07-02T14:00:00.000000000,501.69,451.02175,4
2022-07-02T15:00:00.000000000,494.47,458.7738,4
2022-07-02T16:00:00.000000000,489.63,465.55188,4
2022-07-02T17:00:00.000000000,486.05,468.88424,4
2022-07-02T18:00:00.000000000,486.17,469.34134,4
2022-07-02T19:00:00.000000000,483.28,467.83626,4
2022-07-02T20:00:00.000000000,479.64,466.69901,4
2022-07-02T21:00:00.000000000,473.96,464.09474,4
2022-07-02T22:00:00.000000000,468.27,458.36245,4
2022-07-02T23:00:00.000000000,462.42,452.66346,4
