datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,277.53,275.80808,13
2022-07-01T01:00:00.000000000,290.09,280.40146,13
2022-07-01T02:00:00.000000000,300.59,284.5793,13
2022-07-01T03:00:00.000000000,304.0,288.90598,13
2022-07-01T04:00:00.000000000,308.42,291.89989,13
2022-07-01T05:00:00.000000000,312.88,293.06957,13
2022-07-01T06:00:00.000000000,308.07,292.95326,13
2022-07-01T07:00:00.000000000,298.88,291.32344,13
2022-07-01T08:00:00.000000000,292.66,288.72251,13
2022-07-01T09:00:00.000000000,284.09,285.68648,13
2022-07-01T10:00:00.000000000,281.24,284.62172,13
2022-07-01T11:00:00.000000000,282.47,284.55241,13
2022-07-01T12:00:00.000000000,286.59,285.49764,13
2022-07-01T13:00:00.000000000,298.97,286.20167,13
2022-07-01T14:00:00.000000000,300.02,285.85997,13
2022-07-01T15:00:00.000000000,293.49,284.79248,13
2022-07-01T16:00:00.000000000,288.57,283.30698,13
2022-07-01T17:00:00.000000000,291.01,280.21143,13
2022-07-01T18:00:00.000000000,286.77,276.94893,13
2022-07-01T19:00:00.000000000,282.72,273.68573,13
2022-07-01T20:00:00.000000000,278.38,271.6296,13
2022-07-01T21:00:00.000000000,279.14,269.90633,13
2022-07-01T22:00:00.000000000,282.22,269.23511,13
2022-07-01T23:00:00.000000000,289.66,270.25126,13
2022-07-02T00:00:00.000000000,292.88,274.90511,13
2022-07-02T01:00:00.000000000,299.08,278.13791,13
2022-07-02T02:00:00.000000000,311.56,280.91932,13
2022-07-02T03:00:00.000000000,316.87,284.14182,13
2022-07-02T04:00:00.000000000,317.8,286.61925,13
2022-07-02T05:00:00.000000000,311.6,288.03793,13
2022-07-02T06:00:00.000000000,300.65,288.97213,13
2022-07-02T07:00:00.000000000,295.07,288.98777,13
2022-07-02T08:00:00.000000000,287.14,288.21917,13
2022-07-02T09:00:00.000000000,284.14,286.66836,13
2022-07-02T10:00:00.000000000,282.84,286.1117,13
2022-07-02T11:00:00.000000000,281.79,285.61702,13
2022-07-02T12:00:00.000000000,280.09,285.44795,13
2022-07-02T13:00:00.000000000,280.5,284.83226,13
2022-07-02T14:00:00.000000000,285.0,283.49716,13
2022-07-02T15:00:00.000000000,290.34,282.00264,13
2022-07-02T16:00:00.000000000,289.58,280.75116,13
2022-07-02T17:00:00.000000000,295.41,278.33019,13
2022-07-02T18:00:00.000000000,292.02,275.96465,13
2022-07-02T19:00:00.000000000,286.11,273.51684,13
