datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,491.78,502.01629,7
2022-07-01T01:00:00.000000000,472.11,501.27323,7
2022-07-01T02:00:00.000000000,455.73,501.68103,7
2022-07-01T03:00:00.000000000,463.88,504.02416,7
2022-07-01T04:00:00.000000000,500.42,506.12928,7
2022-07-01T05:00:00.000000000,483.73,511.37381,7
2022-07-01T06:00:00.000000000,471.97,514.88256,7
2022-07-01T07:00:00.000000000,471.86,520.32273,7
2022-07-01T08:00:00.000000000,475.85,526.45258,7
2022-07-01T09:00:00.000000000,500.59,530.31806,7
2022-07-01T10:00:00.000000000,524.29,534.3007,7
2022-07-01T11:00:00.000000000,558.54,536.95739,7
2022-07-01T12:00:00.000000000,565.91,536.20622,7
2022-07-01T13:00:00.000000000,552.11,534.61434,7
2022-07-01T14:00:00.000000000,547.35,530.4475,7
2022-07-01T15:00:00.000000000,530.0,527.54207,7
2022-07-01T16:00:00.000000000,533.98,525.83279,7
2022-07-01T17:00:00.000000000,542.77,525.77118,7
2022-07-01T18:00:00.000000000,541.88,523.71151,7
2022-07-01T19:00:00.000000000,539.19,521.35939,7
2022-07-01T20:00:00.000000000,535.67,519.46607,7
2022-07-01T21:00:00.000000000,534.46,518.39207,7
2022-07-01T22:00:00.000000000,533.47,516.01588,7
2022-07-01T23:00:00.000000000,523.54,513.9793,7
2022-07-02T00:00:00.000000000,503.4,512.70166,7
2022-07-02T01:00:00.000000000,502.97,512.12831,7
2022-07-02T02:00:00.000000000,506.45,512.37285,7
2022-07-02T03:00:00.000000000,486.36,514.18686,7
2022-07-02T04:00:00.000000000,481.42,515.21925,7
2022-07-02T05:00:00.000000000,513.36,518.88092,7
2022-07-02T06:00:00.000000000,521.5,520.64473,7
2022-07-02T07:00:00.000000000,523.55,524.22998,7
2022-07-02T08:00:00.000000000,557.91,528.69114,7
2022-07-02T09:00:00.000000000,551.85,531.2802,7
2022-07-02T10:00:00.000000000,534.33,534.48316,7
2022-07-02T11:00:00.000000000,553.65,536.87396,7
2022-07-02T12:00:00.000000000,584.94,536.36785,7
2022-07-02T13:00:00.000000000,598.19,535.41327,7
2022-07-02T14:00:00.000000000,580.46,531.72189,7
2022-07-02T15:00:00.000000000,572.83,528.99789,7
2022-07-02T16:00:00.000000000,574.5,527.10002,7
2022-07-02T17:00:00.000000000,577.96,526.40974,7
2022-07-02T18:00:00.000000000,581.46,523.57871,7
2022-07-02T19:00:00.000000000,591.85,520.36367,7
2022-07-02T20:00:00.000000000,595.6,517.87772,7
2022-07-02T21:00:00.000000000,589.46,516.70239,7
2022-07-02T22:00:00.000000000,580.12,514.95039,7
2022-07-02T23:00:00.000000000,569.24,513.85897,7
2022-07-03T00:00:00.000000000,548.91,504.63058,7
2022-07-03T01:00:00.000000000,543.92,504.95415,7
2022-07-03T02:00:00.000000000,529.42,505.72948,7
2022-07-03T03:00:00.000000000,498.17,507.68235,7
2022-07-03T04:00:00.000000000,469.47,508.5575,7
2022-07-03T05:00:00.000000000,482.19,511.39562,7
2022-07-03T06:00:00.000000000,485.7,511.86056,7
2022-07-03T07:00:00.000000000,482.65,513.58976,7
2022-07-03T08:00:00.000000000,486.53,516.09024,7
2022-07-03T09:00:00.000000000,490.9,516.71051,7
2022-07-03T10:00:00.000000000,492.91,518.39231,7
2022-07-03T11:00:00.000000000,491.16,519.69019,7
2022-07-03T12:00:00.000000000,493.62,518.62157,7
2022-07-03T13:00:00.000000000,516.25,517.55711,7
2022-07-03T14:00:00.000000000,524.31,514.29995,7
2022-07-03T15:00:00.000000000,497.81,512.03803,7
2022-07-03T16:00:00.000000000,489.15,510.46742,7
2022-07-03T17:00:00.000000000,480.94,510.05787,7
2022-07-03T18:00:00.000000000,492.25,507.60724,7
2022-07-03T19:00:00.000000000,519.06,504.94909,7
2022-07-03T20:00:00.000000000,534.7,502.8855,7
2022-07-03T21:00:00.000000000,536.04,502.50007,7
2022-07-03T22:00:00.000000000,529.59,501.77848,7
2022-07-03T23:00:00.000000000,511.0,501.79123,7
2022-07-04T00:00:00.000000000,492.57,496.29412,7
2022-07-04T01:00:00.000000000,498.73,496.90334,7
2022-07-04T02:00:00.000000000,483.19,498.03092,7
2022-07-04T03:00:00.000000000,498.85,500.29783,7
2022-07-04T04:00:00.000000000,524.37,501.57404,7
2022-07-04T05:00:00.000000000,545.61,504.80254,7
2022-07-04T06:00:00.000000000,559.97,505.52168,7
2022-07-04T07:00:00.000000000,568.71,507.42272,7
2022-07-04T08:00:00.000000000,546.3,510.02006,7
2022-07-04T09:00:00.000000000,509.88,510.64287,7
2022-07-04T10:00:00.000000000,515.24,512.3605,7
2022-07-04T11:00:00.000000000,533.74,513.72795,7
2022-07-04T12:00:00.000000000,536.02,512.83585,7
2022-07-04T13:00:00.000000000,533.22,512.04852,7
2022-07-04T14:00:00.000000000,519.94,509.25301,7
2022-07-04T15:00:00.000000000,505.67,507.54761,7
2022-07-04T16:00:00.000000000,521.13,506.58293,7
2022-07-04T17:00:00.000000000,539.78,506.82189,7
2022-07-04T18:00:00.000000000,543.39,505.07472,7
2022-07-04T19:00:00.000000000,550.53,502.93147,7
2022-07-04T20:00:00.000000000,558.04,501.13314,7
2022-07-04T21:00:00.000000000,559.87,500.88468,7
2022-07-04T22:00:00.000000000,565.25,499.97944,7
2022-07-04T23:00:00.000000000,568.51,499.69977,7
2022-07-02T00:00:00.000000000,503.4,525.66205,7
2022-07-02T01:00:00.000000000,502.97,520.89565,7
2022-07-02T02:00:00.000000000,506.45,517.16258,7
2022-07-02T03:00:00.000000000,486.36,515.47048,7
2022-07-02T04:00:00.000000000,481.42,513.73361,7
2022-07-02T05:00:00.000000000,513.36,515.8704,7
2022-07-02T06:00:00.000000000,521.5,517.56123,7
2022-07-02T07:00:00.000000000,523.55,522.89104,7
2022-07-02T08:00:00.000000000,557.91,530.00446,7
2022-07-02T09:00:00.000000000,551.85,535.95217,7
