datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,clients
2022-07-01T00:00:00.000000000,531.88,487.90559,1
2022-07-01T01:00:00.000000000,551.77,498.31325,1
2022-07-01T02:00:00.000000000,573.78,513.38681,1
2022-07-01T03:00:00.000000000,624.95,529.11922,1
2022-07-01T04:00:00.000000000,613.7,541.74091,1
2022-07-01T05:00:00.000000000,607.59,549.91996,1
2022-07-01T06:00:00.000000000,598.83,556.98415,1
2022-07-01T07:00:00.000000000,589.08,563.2306,1
2022-07-01T08:00:00.000000000,569.3,569.2392,1
2022-07-01T09:00:00.000000000,579.71,574.3722,1
2022-07-01T10:00:00.000000000,586.81,577.57019,1
2022-07-01T11:00:00.000000000,586.04,580.22745,1
2022-07-01T12:00:00.000000000,570.7,578.95133,1
2022-07-01T13:00:00.000000000,570.08,567.15319,1
2022-07-01T14:00:00.000000000,531.46,544.32304,1
2022-07-01T15:00:00.000000000,484.26,518.29972,1
2022-07-01T16:00:00.000000000,470.72,498.56782,1
2022-07-01T17:00:00.000000000,464.82,487.52326,1
2022-07-01T18:00:00.000000000,459.24,483.10726,1
2022-07-01T19:00:00.000000000,468.35,481.37608,1
2022-07-01T20:00:00.000000000,469.05,481.2493,1
2022-07-01T21:00:00.000000000,465.48,481.72799,1
2022-07-01T22:00:00.000000000,446.91,483.13443,1
2022-07-01T23:00:00.000000000,446.05,486.54043,1
2022-07-02T00:00:00.000000000,422.74,482.18881,1
2022-07-02T01:00:00.000000000,419.35,497.34549,1
2022-07-02T02:00:00.000000000,456.18,516.12361,1
2022-07-02T03:00:00.000000000,504.21,533.11861,1
2022-07-02T04:00:00.000000000,507.12,545.05975,1
2022-07-02T05:00:00.000000000,530.39,552.68242,1
2022-07-02T06:00:00.000000000,549.8,560.06515,1
2022-07-02T07:00:00.000000000,556.23,566.66197,1
2022-07-02T08:00:00.000000000,569.34,572.19083,1
2022-07-02T09:00:00.000000000,591.46,575.95345,1
2022-07-02T10:00:00.000000000,590.34,577.33548,1
2022-07-02T11:00:00.000000000,591.12,578.16068,1
2022-07-02T12:00:00.000000000,588.57,575.14582,1
2022-07-02T13:00:00.000000000,574.72,561.08285,1
2022-07-02T14:00:00.000000000,522.34,535.2517,1
2022-07-02T15:00:00.000000000,481.19,506.18914,1
2022-07-02T16:00:00.000000000,426.59,484.29331,1
2022-07-02T17:00:00.000000000,397.29,472.39917,1
2022-07-02T18:00:00.000000000,415.47,467.95028,1
2022-07-02T19:00:00.000000000,433.84,466.35074,1
2022-07-02T20:00:00.000000000,443.78,465.96696,1
2022-07-02T21:00:00.000000000,464.97,466.06074,1
2022-07-02T22:00:00.000000000,474.34,467.54347,1
2022-07-02T23:00:00.000000000,459.49,472.92187,1
2022-07-03T00:00:00.000000000,427.5,460.45451,1
2022-07-03T01:00:00.000000000,446.39,482.93403,1
2022-07-03T02:00:00.000000000,481.53,506.45713,1
2022-07-03T03:00:00.000000000,501.74,524.37289,1
2022-07-03T04:00:00.000000000,509.12,535.40308,1
2022-07-03T05:00:00.000000000,492.48,542.59775,1
2022-07-03T06:00:00.000000000,521.69,550.17786,1
2022-07-03T07:00:00.000000000,548.9,556.63747,1
2022-07-03T08:00:00.000000000,548.92,561.46597,1
2022-07-03T09:00:00.000000000,584.2,565.03658,1
2022-07-03T10:00:00.000000000,592.64,566.36796,1
2022-07-03T11:00:00.000000000,572.52,566.07385,1
2022-07-03T12:00:00.000000000,531.69,559.92808,1
2022-07-03T13:00:00.000000000,510.83,540.10664,1
2022-07-03T14:00:00.000000000,452.37,507.31299,1
2022-07-03T15:00:00.000000000,376.92,472.54611,1
2022-07-03T16:00:00.000000000,324.62,447.74923,1
2022-07-03T17:00:00.000000000,307.5,436.23816,1
2022-07-03T18:00:00.000000000,303.58,433.50633,1
2022-07-03T19:00:00.000000000,317.88,433.26853,1
2022-07-03T20:00:00.000000000,336.4,432.99051,1
2022-07-03T21:00:00.000000000,334.29,433.27906,1
2022-07-03T22:00:00.000000000,341.8,436.545,1
2022-07-03T23:00:00.000000000,331.63,447.16746,1
2022-07-04T00:00:00.000000000,369.9,439.55709,1
2022-07-04T01:00:00.000000000,392.88,463.68812,1
2022-07-04T02:00:00.000000000,440.19,488.75747,1
2022-07-04T03:00:00.000000000,490.35,508.04137,1
2022-07-04T04:00:00.000000000,505.15,520.25485,1
2022-07-04T05:00:00.000000000,514.16,527.9862,1
2022-07-04T06:00:00.000000000,469.59,535.20038,1
2022-07-04T07:00:00.000000000,496.77,541.20615,1
2022-07-04T08:00:00.000000000,518.15,546.33389,1
2022-07-04T09:00:00.000000000,541.65,551.54637,1
2022-07-04T10:00:00.000000000,534.36,553.78857,1
2022-07-04T11:00:00.000000000,565.68,550.94387,1
2022-07-04T12:00:00.000000000,574.9,539.40898,1
2022-07-04T13:00:00.000000000,554.48,514.56039,1
2022-07-04T14:00:00.000000000,482.19,479.73217,1
2022-07-04T15:00:00.000000000,396.39,445.98092,1
2022-07-04T16:00:00.000000000,357.23,423.37364,1
2022-07-04T17:00:00.000000000,329.43,414.22541,1
2022-07-04T18:00:00.000000000,339.5,413.21298,1
2022-07-04T19:00:00.000000000,358.22,414.06239,1
2022-07-04T20:00:00.000000000,358.44,414.55156,1
2022-07-04T21:00:00.000000000,337.03,416.19363,1
2022-07-04T22:00:00.000000000,337.92,421.3421,1
2022-07-04T23:00:00.000000000,369.13,434.22968,1
2022-07-01T00:00:00.000000000,602.53,614.92476,2
2022-07-01T01:00:00.000000000,595.09,619.36958,2
2022-07-01T02:00:00.000000000,608.28,620.54941,2
2022-07-01T03:00:00.000000000,623.27,621.16073,2
2022-07-01T04:00:00.000000000,635.74,622.89414,2
2022-07-01T05:00:00.000000000,618.19,624.14004,2
2022-07-01T06:00:00.000000000,604.81,620.10821,2
2022-07-01T07:00:00.000000000,593.55,618.64208,2
2022-07-01T08:00:00.000000000,573.1,615.91653,2
2022-07-01T09:00:00.000000000,566.36,616.73735,2
2022-07-01T10:00:00.000000000,552.6,619.56036,2
2022-07-01T11:00:00.000000000,551.11,619.59466,2
2022-07-01T12:00:00.000000000,555.1,622.18033,2
2022-07-01T13:00:00.000000000,571.81,625.09916,2
2022-07-01T14:00:00.000000000,591.12,621.309,2
2022-07-01T15:00:00.000000000,598.67,618.79367,2
2022-07-01T16:00:00.000000000,596.82,615.69711,2
2022-07-01T17:00:00.000000000,602.4,613.17188,2
2022-07-01T18:00:00.000000000,600.9,608.04156,2
2022-07-01T19:00:00.000000000,577.04,606.87558,2
2022-07-01T20:00:00.000000000,578.43,604.73198,2
2022-07-01T21:00:00.000000000,579.43,604.21964,2
2022-07-01T22:00:00.000000000,585.83,605.98067,2
2022-07-01T23:00:00.000000000,579.61,609.67358,2
2022-07-02T00:00:00.000000000,579.23,626.65765,2
2022-07-02T01:00:00.000000000,576.9,632.24026,2
2022-07-02T02:00:00.000000000,589.93,633.89027,2
2022-07-02T03:00:00.000000000,601.46,634.5865,2
2022-07-02T04:00:00.000000000,613.9,637.05685,2
2022-07-02T05:00:00.000000000,620.63,638.97021,2
2022-07-02T06:00:00.000000000,611.78,636.20596,2
2022-07-02T07:00:00.000000000,600.26,636.98141,2
2022-07-02T08:00:00.000000000,591.63,636.31525,2
2022-07-02T09:00:00.000000000,592.85,638.95974,2
2022-07-02T10:00:00.000000000,595.05,642.49955,2
2022-07-02T11:00:00.000000000,593.63,641.00687,2
2022-07-02T12:00:00.000000000,584.89,640.94643,2
2022-07-02T13:00:00.000000000,580.9,640.2011,2
2022-07-02T14:00:00.000000000,603.92,631.84824,2
2022-07-02T15:00:00.000000000,603.43,625.85108,2
2022-07-02T16:00:00.000000000,595.24,619.91579,2
2022-07-02T17:00:00.000000000,590.98,615.63667,2
2022-07-02T18:00:00.000000000,599.71,609.21452,2
2022-07-02T19:00:00.000000000,598.03,608.09712,2
2022-07-02T20:00:00.000000000,593.7,607.50148,2
2022-07-02T21:00:00.000000000,597.28,608.94908,2
2022-07-02T22:00:00.000000000,594.16,613.03237,2
2022-07-02T23:00:00.000000000,588.49,618.54491,2
2022-07-03T00:00:00.000000000,601.58,626.93931,2
2022-07-03T01:00:00.000000000,615.94,634.78501,2
2022-07-03T02:00:00.000000000,622.42,638.84483,2
2022-07-03T03:00:00.000000000,638.62,641.97437,2
2022-07-03T04:00:00.000000000,645.26,646.40146,2
2022-07-03T05:00:00.000000000,634.87,649.45361,2
2022-07-03T06:00:00.000000000,629.63,646.98371,2
2022-07-03T07:00:00.000000000,615.99,647.66201,2
2022-07-03T08:00:00.000000000,606.58,646.72764,2
2022-07-03T09:00:00.000000000,600.54,648.99164,2
2022-07-03T10:00:00.000000000,606.22,652.18722,2
2022-07-03T11:00:00.000000000,598.56,650.77847,2
2022-07-03T12:00:00.000000000,574.73,650.41154,2
2022-07-03T13:00:00.000000000,587.9,649.09714,2
2022-07-03T14:00:00.000000000,601.91,640.08895,2
2022-07-03T15:00:00.000000000,607.07,633.6845,2
2022-07-03T16:00:00.000000000,608.32,626.78666,2
2022-07-03T17:00:00.000000000,619.79,621.18386,2
2022-07-03T18:00:00.000000000,614.07,613.0869,2
2022-07-03T19:00:00.000000000,597.59,610.2674,2
2022-07-03T20:00:00.000000000,591.45,608.09031,2
2022-07-03T21:00:00.000000000,602.27,608.02987,2
2022-07-03T22:00:00.000000000,605.87,611.74941,2
2022-07-03T23:00:00.000000000,609.25,617.92334,2
2022-07-04T00:00:00.000000000,629.6,624.38638,2
2022-07-04T01:00:00.000000000,641.62,635.21931,2
2022-07-04T02:00:00.000000000,633.35,642.16362,2
2022-07-04T03:00:00.000000000,641.61,648.38518,2
2022-07-04T04:00:00.000000000,642.87,655.05416,2
2022-07-04T05:00:00.000000000,640.97,659.02952,2
2022-07-04T06:00:00.000000000,612.49,656.15015,2
2022-07-04T07:00:00.000000000,602.21,655.73865,2
2022-07-04T08:00:00.000000000,595.98,653.47895,2
2022-07-04T09:00:00.000000000,586.63,654.78622,2
2022-07-04T10:00:00.000000000,592.22,657.90901,2
2022-07-04T11:00:00.000000000,593.86,658.22862,2
2022-07-04T12:00:00.000000000,583.06,659.76233,2
2022-07-04T13:00:00.000000000,579.23,660.26118,2
2022-07-04T14:00:00.000000000,610.93,652.49701,2
2022-07-04T15:00:00.000000000,629.76,646.5807,2
